"","ASPEN-BB-15-B","ASPEN-BB-9-B","ASPEN-BB-18-B","ASPEN-BB-14-B","ASPEN-BB-13-B","ASPEN-BB-10-A","ASPEN-BB-15-A","ASPEN-BB-17-A","ASPEN-BB-17-B","ASPEN-BB-18-A","ASPEN-BB-9-A","ASPEN-BB-11-A","ASPEN-BB-16-B","ASPEN-BB-11-B","ASPEN-BB-12-A","ASPEN-BB-12-B","ASPEN-BB-14-A","ASPEN-BB-10-B","ASPEN-BB-13-A","ASPEN-FF-3-B","ASPEN-FF-14-B","ASPEN-FF-2-A","ASPEN-FF-8-B","ASPEN-FF-4-A","ASPEN-FF-4-B","ASPEN-FF-13-A","ASPEN-FF-14-A","ASPEN-FF-20-A","ASPEN-FF-2-B","ASPEN-FF-3-A","ASPEN-FF-8-A","ASPEN-FF-5-B","ASPEN-FF-1-A","ASPEN-FF-1-B","ASPEN-FF-13-B","ASPEN-FF-16-A","ASPEN-FF-17-A","ASPEN-FF-6-A","ASPEN-FF-6-B","ASPEN-FF-19-A","ASPEN-FF-7-A","ASPEN-FF-7-B","ASPEN-FF-15-B","ASPEN-FF-18-B","ASPEN-FF-5-A","ASPEN-FF-17-B","ASPEN-FF-19-B","ASPEN-FF-20-B","ASPEN-FF-18-A","ASPEN-FF-15-A","ASPEN-FF-12-A","ASPEN-FF-12-B","ASPEN-FF-16-B","ASPEN-FF-11-A","ASPEN-FF-11-B"
"1931",0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932",0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933",1.157,1.423,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1934",0.493,1.667,1.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1935",1.797,1.886,1.31,1.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936",1.28,2.643,1.935,1.343,1.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1937",1.02,2.21,2.405,0.542,0.914,1.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1938",1.379,1.117,2.675,2.06,1.483,2.453,0.593,2.435,2.093,1.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939",1.894,2.371,0.595,1.797,1.487,1.608,1.518,3.026,2.504,1.102,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1940",1.964,1.68,1.857,1.737,2.096,1.575,1.558,2.549,2.329,1.203,1.896,2.773,1.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
