"","WSPRU-FF-1-A","WSPRU-FF-2-A","WSPRU-FF-2-B","WSPRU-FF-4-B","WSPRU-FF-4-A","WSPRU-FF-6-B","WSPRU-FF-6-A","WSPRU-FF-8-B","WSPRU-FF-1-B","WSPRU-FF-3-A","WSPRU-FF-3-B","WSPRU-FF-5-A","WSPRU-FF-8-A","WSPRU-FF-5-B"
"1965",0.218,0.277,0.319,0.174,0.275,0.433,0.323,0.192,NA,NA,NA,NA,NA,NA
"1966",0.257,0.315,0.279,0.356,0.324,0.304,0.325,0.327,0.593,0.197,0.228,0.233,0.369,NA
"1967",0.317,0.428,0.464,0.596,0.393,0.389,0.687,0.286,0.234,0.367,0.339,0.248,0.244,0.231
"1968",0.333,0.388,0.437,0.5,0.366,0.404,0.659,0.283,0.371,0.359,0.3,0.307,0.354,0.322
"1969",0.262,0.368,0.376,0.614,0.409,0.501,0.709,0.654,0.363,0.348,0.196,0.222,0.412,0.102
"1970",0.235,0.478,0.388,0.775,0.403,0.981,0.783,0.448,0.507,0.566,0.25,0.368,0.551,0.219
"1971",0.566,0.573,0.735,0.459,0.706,0.767,0.745,0.522,0.418,0.481,0.242,0.41,0.282,0.166
"1972",0.471,0.674,0.696,0.431,0.393,0.743,0.117,0.192,0.148,0.588,0.336,0.594,0.495,0.561
"1973",0.272,0.687,0.137,0.704,0.332,0.866,0.398,0.165,0.442,0.337,0.349,0.339,0.083,0.655
"1974",0.404,0.826,1.046,1.192,0.743,0.552,0.412,0.24,0.296,0.536,0.28,0.396,0.407,0.855
"1975",0.546,0.873,0.97,0.863,0.558,0.954,0.302,0.399,0.35,0.569,0.333,0.451,0.204,0.302
"1976",0.208,0.568,1.234,0.462,0.569,0.152,0.779,0.396,0.546,0.203,0.407,0.397,0.127,0.286
"1977",0.493,0.352,1.439,0.493,0.618,0.951,0.111,0.186,0.428,0.157,0.581,0.226,0.253,0.28
"1978",1.139,1.444,0.195,0.443,0.466,0.433,0.073,0.202,0.381,0.485,0.19,0.464,0.219,0.033
"1979",1.177,0.166,0.264,0.184,0.483,0.606,0.209,0.125,0.264,0.118,0.836,0.104,0.396,0.124
"1980",1.097,0.216,1.467,0.46,0.393,0.185,0.147,0.319,0.951,0.212,1.123,0.07,0.339,0.517
"1981",2.032,0.109,2.041,1.027,0.106,0.239,0.617,1.017,1.372,0.25,1.421,0.071,1.254,1.027
"1982",0.265,0.178,2.031,0.672,0.026,0.683,0.453,0.314,0.826,0.941,0.153,0.147,0.224,0.123
"1983",1.678,0.181,0.273,0.2,1.193,1.05,0.229,1.504,0.123,1.202,1.173,0.247,1.509,1.098
"1984",0.309,2.722,0.358,0.228,0.174,0.273,1.179,1.112,1.904,0.352,1.63,0.301,1.509,1.1
"1985",2.269,0.306,0.455,0.904,0.322,1.348,0.315,0.63,0.186,1.528,1.347,0.671,1.236,0.586
"1986",2.3,2.054,0.438,0.167,0.943,0.208,0.332,0.515,0.336,0.303,0.238,0.206,1.402,0.782
"1987",0.413,2.221,3.176,0.219,0.241,1.747,0.285,0.367,0.229,0.187,0.124,0.306,1.148,0.852
"1988",0.346,2.301,0.318,0.762,0.318,1.973,0.334,0.313,0.251,0.335,1.594,1.105,1.731,0.537
"1989",3.303,3.064,3.674,0.413,1.542,2.368,0.45,1.169,0.391,2.727,2.432,0.388,2.157,1.242
"1990",2.56,0.408,0.453,0.957,0.489,1.452,0.281,0.15,2.028,0.263,0.288,1.35,2.075,0.486
"1991",3.022,5.174,4.423,1.055,1.497,0.319,1.204,1.659,2.213,1.923,2.259,0.47,0.17,1.585
"1992",0.255,0.33,3.947,1.123,0.395,0.336,0.285,0.134,0.225,1.213,2.384,0.213,0.233,0.269
"1993",0.228,0.251,4.639,0.99,1.658,1.574,0.471,1.28,0.232,0.176,2.078,1.024,2.478,1.132
"1994",0.167,0.372,0.279,1.653,0.544,0.317,1.72,0.221,0.567,0.147,0.137,1.331,3.173,0.453
"1995",1.027,1.97,1.923,0.418,0.401,0.284,0.221,0.924,0.251,0.859,1.32,0.602,1.272,0.25
"1996",1.746,4.243,3.129,1.108,0.229,1.195,0.21,1.86,0.195,1.173,1.698,0.681,1.941,0.274
"1997",1.908,3.624,2.667,0.276,1.532,0.373,0.162,0.041,1.11,1.045,0.773,0.329,2.434,1.572
"1998",1.687,2.469,2.339,0.207,0.178,0.897,0.998,0.027,0.052,0.724,0.851,0.715,1.715,0.213
"1999",0.928,1.59,1.459,0.263,0.101,0.341,0.432,0.752,0.629,0.436,0.365,0.206,0.898,0.641
"2000",1.646,3.656,3.639,0.615,0.969,0.21,0.062,1.09,0.059,1.125,1.037,0.437,1.659,0.673
"2001",1.892,3.624,3.554,0.483,1.111,0.788,0.831,1.479,0.052,0.637,0.789,0.269,1.841,0.345
"2002",0.506,1.349,1.447,0.174,0.28,0.063,0.316,0.807,0.395,0.155,0.163,0.115,0.931,0.194
"2003",1.344,3.239,3.593,0.575,0.943,0.061,1.137,2.01,1.218,0.77,0.792,0.423,2.198,0.868
"2004",1.359,1.49,2.353,0.273,0.638,0.059,0.951,1.306,1.057,0.332,0.345,0.322,1.821,0.508
"2005",1.969,2.654,3.152,0.573,1.02,1.102,1.684,1.778,1.614,0.534,0.494,0.372,2.663,0.453
"2006",2.033,2.044,2.941,0.563,0.842,0.821,1.556,1.4,1.938,0.389,0.452,0.379,2.829,0.456
"2007",1.662,1.297,2.179,0.471,0.971,0.712,1.409,1.292,1.312,0.4,0.394,0.411,2.597,0.331
