"","ASPEN-SS-20-A","ASPEN-SS-20-B","ASPEN-SS-3-B","ASPEN-SS-2-A","ASPEN-SS-2-B","ASPEN-SS-3-A","ASPEN-SS-4-A","ASPEN-SS-4-B","ASPEN-SS-5-A","ASPEN-SS-5-B","ASPEN-SS-1-A","ASPEN-SS-1-B","ASPEN-SS-6-A","ASPEN-SS-6-B","ASPEN-SS-7-A","ASPEN-SS-7-B","ASPEN-SS-8-A","ASPEN-SS-8-B","ASPEN-SS-9-A","ASPEN-SS-9-B","ASPEN-SS-14-A","ASPEN-SS-16-B","ASPEN-SS-17-A","ASPEN-SS-17-B","ASPEN-SS-13-A","ASPEN-SS-15-A","ASPEN-SS-15-B","ASPEN-SS-19-A","ASPEN-SS-10-A","ASPEN-SS-10-B","ASPEN-SS-12-A","ASPEN-SS-12-B","ASPEN-SS-13-B","ASPEN-SS-16-A","ASPEN-SS-18-B","ASPEN-RR-12-A","ASPEN-RR-12-B","ASPEN-RR-18-A","ASPEN-RR-1-A","ASPEN-RR-1-B","ASPEN-RR-2-A","ASPEN-RR-2-B","ASPEN-RR-3-A","ASPEN-RR-3-B","ASPEN-RR-8-A","ASPEN-RR-8-B","ASPEN-RR-10-A","ASPEN-RR-10-B","ASPEN-SS-14-B","ASPEN-SS-19-B","ASPEN-RR-9-A","ASPEN-RR-9-B","ASPEN-RR-5-A","ASPEN-RR-5-B","ASPEN-RR-7-A","ASPEN-RR-7-B","ASPEN-RR-6-A","ASPEN-RR-6-B","ASPEN-RR-13-A","ASPEN-SS-18-A","ASPEN-RR-14-B","ASPEN-RR-16-A","ASPEN-SS-11-A","ASPEN-RR-11-A","ASPEN-RR-15-B","ASPEN-RR-17-B","ASPEN-RR-19-B","ASPEN-SS-11-B","ASPEN-RR-13-B","ASPEN-RR-11-B","ASPEN-RR-14-A","ASPEN-RR-16-B","ASPEN-RR-20-A","ASPEN-RR-17-A","ASPEN-RR-19-A","ASPEN-RR-15-A","ASPEN-RR-20-B"
"1968",1.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969",1.137,1.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970",0.985,1.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971",1.522,1.404,2.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972",0.795,0.767,1.567,1,1.088,2.262,1.037,1.209,1.549,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973",1.032,0.881,1.063,1.563,1.9,2.217,3.944,3.615,2.228,2.571,2.996,3.097,3.461,2.995,2.687,3.158,2.346,2.118,2.611,2.846,2.031,1.431,3.072,2.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974",0.537,1.596,1.477,1.305,1.435,1.45,2.067,2.577,2.058,2.322,1.254,1.619,2.547,2.645,2.477,2.678,2.241,2.25,3.015,3.122,2.527,3.018,3.275,2.526,3.782,3.872,2.452,3.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975",0.913,1.625,1.535,1.252,1.243,1.258,1.824,2.171,1.896,1.874,1.315,1.842,1.991,1.71,3.313,3.253,1.424,1.62,1.905,2.335,1.997,2.52,3.156,3.312,3.309,2.604,2.873,2.138,1.743,2.03,3.905,1.531,3.656,2.678,2.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976",1.452,1.928,1.561,0.849,1.15,1.527,1.719,1.677,1.775,1.757,0.975,1.398,1.776,1.654,1.989,1.756,1.028,1.385,1.031,1.907,1.227,1.858,3.095,2.706,1.842,2.144,2.218,1.935,3.28,3.126,2.34,2.847,2.209,1.838,1.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1977",1.154,1.561,1.382,0.748,0.991,1.429,1.349,1.705,1.099,1.164,1.067,1.395,1.273,1.103,0.928,0.92,0.604,0.83,1.04,1.252,2.054,1.489,1.722,3.724,1.417,1.983,1.976,1.08,1.494,1.36,2.366,2.588,1.534,1.568,2.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
