,WSPRU-SS-6-A,WSPRU-SS-6-B,WSPRU-SS-2-B,WSPRU-SS-2-A,WSPRU-SS-3-A,WSPRU-SS-3-B,WSPRU-SS-4-A,WSPRU-SS-4-B,WSPRU-SS-7-B,WSPRU-SS-7-A,WSPRU-SS-1-B,WSPRU-SS-1-A,WSPRU-SS-8-B,WSPRU-SS-8-A,WSPRU-SS-9-A,WSPRU-SS-9-B,WSPRU-RR-8-B,WSPRU-RR-8-A,WSPRU-SS-10-B,WSPRU-SS-10-A,WSPRU-RR-2-A,WSPRU-RR-2-B,WSPRU-RR-9-B,WSPRU-RR-9-A,WSPRU-RR-5-B,WSPRU-RR-5-A,WSPRU-RR-10-A,WSPRU-RR-10-B,WSPRU-RR-3-B,WSPRU-RR-3-A,WSPRU-RR-6-B,WSPRU-RR-6-A,WSPRU-RR-7-B,WSPRU-RR-7-A,WSPRU-RR-1-A,WSPRU-RR-1-B,WSPRU-RR-4-A,WSPRU-RR-4-B
1974,0.256,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,0.503,0.306,0.782,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,0.612,0.461,0.527,0.573,0.766,0.772,0.445,0.441,0.925,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,0.438,0.491,0.983,0.774,0.678,0.566,1,0.794,0.728,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,0.516,0.548,0.752,0.833,0.589,0.472,0.81,0.966,0.742,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,0.427,0.763,0.581,0.739,0.545,0.846,0.72,0.75,0.987,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,0.319,0.314,0.832,0.857,0.658,0.506,0.649,0.802,0.85,0.858,0.371,0.464,1.2,1.377,0.264,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,0.365,0.486,0.829,0.632,0.744,0.647,0.61,0.686,0.747,0.658,0.376,0.442,1.414,1.257,0.138,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,0.382,0.371,0.217,0.363,0.552,0.698,0.62,0.848,0.696,0.842,0.394,0.537,1.238,2.077,0.283,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,0.177,0.199,0.191,0.225,0.292,0.437,0.343,0.754,0.327,0.416,0.522,0.556,0.482,0.827,0.164,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,0.229,0.226,0.417,0.394,0.298,0.347,0.126,0.281,0.371,0.403,0.618,0.358,0.334,2.114,0.115,0.262,1.424,1.386,0.977,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,0.331,0.495,0.603,0.31,0.368,0.725,0.288,0.509,0.961,0.559,0.454,0.1,0.494,1.889,0.421,0.474,1.08,1.199,0.696,0.798,0.594,0.607,0.925,1.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,0.433,0.618,0.482,0.437,0.463,0.764,0.333,0.615,1.342,0.695,0.363,0.423,0.699,1.849,0.526,0.537,1.336,1.688,0.768,0.938,0.431,0.413,0.641,0.555,0.707,0.777,1.002,1.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,0.511,0.771,0.697,0.476,0.728,0.589,0.522,0.775,1.433,1.372,0.481,0.387,1.525,1.268,0.556,0.425,1.35,1.414,0.796,0.781,0.775,0.771,0.693,0.612,0.645,0.638,0.604,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,0.617,0.744,0.869,1.477,0.72,0.651,0.485,0.682,1.071,1.523,0.663,0.704,0.342,0.934,0.547,0.357,1.527,1.75,0.409,0.374,1.399,1.17,0.96,0.613,0.745,0.641,0.566,1.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,0.69,0.932,1.497,1.108,1.028,1.117,0.514,0.773,1.281,2.157,0.748,0.686,0.403,2.034,0.354,0.439,1.961,2.021,0.654,1.133,1.624,1.025,1.673,1.322,1.057,1.115,1.751,1.688,0.49,0.501,0.462,0.407,0.316,0.315,NA,NA,NA,NA
1990,0.772,0.916,1.481,0.664,1.374,1.48,0.669,0.904,3.231,2.489,0.895,0.69,0.405,1.505,0.34,0.571,2.543,2.242,1.088,1.218,0.288,0.571,2.086,1.956,0.652,1.057,1.791,1.804,0.384,0.423,0.453,0.443,0.321,0.549,NA,NA,NA,NA
1991,1.069,1.209,1.08,0.863,1.184,1.276,0.742,0.8,2.89,3.247,0.829,0.541,0.53,1.655,0.317,0.653,3.895,3.468,1.152,1.453,2.599,2.088,2.855,2.491,0.837,0.884,2.625,2.888,0.562,0.476,0.601,0.66,0.757,0.568,0.598,0.595,NA,NA
1992,1.676,1.851,0.9,1.083,1.809,2.439,1.436,1.517,1.863,2.669,1.532,1.021,0.423,1.161,1.997,0.163,4.669,4.48,0.572,0.889,2.415,2.732,3.538,2.231,0.901,1.042,2.777,3.245,0.575,0.534,0.739,0.776,0.786,0.684,0.333,0.392,NA,NA
1993,1.427,1.202,0.731,1.449,2.127,1.892,1.717,0.986,1.075,1.232,2.068,1.934,0.707,0.903,2.387,0.231,5.71,5.726,1.685,2.249,1.267,1.471,3.464,2.697,1.019,1.395,3.118,3.584,0.735,0.505,0.658,0.942,0.953,0.988,0.525,0.564,0.6,0.582
1994,2.134,2.632,1.411,1.815,2.844,3.018,1.59,0.824,2.416,2.288,2.731,2.034,0.983,1.359,1.957,0.882,6.254,5.124,3.009,3.351,2.748,2.682,2.461,2.511,1.559,2.078,3.733,3.377,0.954,0.947,0.82,0.805,0.825,0.805,0.409,0.559,0.296,0.319
1995,2.169,2.191,2.518,1.735,2.49,2.96,1.903,1.99,2.64,1.971,2.708,2.05,0.625,0.866,1.658,0.669,6.222,3.451,2.635,3.234,3.935,3.451,2.846,2.516,1.726,2.095,2.697,2.795,1.017,1.375,0.818,0.773,0.781,0.774,0.586,0.733,0.551,0.5
1996,1.661,1.702,2.139,1.193,3.257,3.171,2.727,2.299,2.973,2.938,2.888,2.602,0.449,0.816,1.561,0.816,4.845,5.158,2.666,2.802,3.096,2.777,3.141,2.97,2.512,2.188,2.553,2.717,0.878,1.785,1.18,1.03,0.739,0.92,0.669,0.84,0.394,0.64
1997,1.384,1.388,1.602,1.402,2.851,2.7,2.23,1.806,2.688,3.616,2.235,2.584,0.412,1.37,1.726,0.73,5.338,4.162,1.826,2.142,2.978,2.717,3.762,2.816,2.057,2.889,3.071,2.788,0.874,2.788,1.126,1.252,1.062,1.358,0.639,0.572,0.466,0.518
1998,1.982,1.58,3.015,1.862,3.121,3.013,1.93,1.313,3.271,3.071,2.203,2.715,0.474,0.927,1.317,0.893,4.461,5.131,2.687,2.033,2.803,2.925,3.54,3.203,1.893,2.741,4.241,4.186,0.741,2.095,1.574,1.375,1.507,1.372,0.874,0.845,0.516,0.792
1999,2.016,1.695,2.397,1.272,3.088,3.21,1.795,1.572,3.941,4.118,2.734,2.389,1.201,1.661,1.467,1.278,4.899,5.508,2.423,2.285,2.699,2.664,4.658,4.304,1.84,2.264,3.193,3.386,0.286,1.052,2.005,1.901,1.585,1.45,0.779,0.943,0.913,0.989
2000,1.772,1.614,1.286,1.938,2.348,2.227,1.49,0.967,3.313,3.282,2.185,1.49,0.71,0.807,1.056,0.739,4.214,4.739,2.19,1.974,2.156,1.449,3.558,4.133,2.818,3.1,2.501,2.231,0.954,3.618,1.534,1.716,1.417,1.194,0.962,0.711,0.752,1.004
2001,1.829,1.399,1.428,2.337,2.633,2.261,1.826,0.99,3.93,2.943,2.531,1.502,0.49,0.73,1.486,0.576,3.742,5.228,2.528,2.156,2.661,2.756,3.406,3.509,1.94,2.632,2.487,2.385,1.187,2.323,1.739,1.794,1.97,1.433,1.567,0.607,0.939,1.113
2002,1.714,1.793,1.369,1.27,3.126,2.445,2.022,1.279,4.528,4.394,2.792,1.858,0.508,0.54,1.447,0.66,4.459,5.554,3.155,2.82,3.233,2.919,4.975,5.48,2.689,3.064,3.982,4.368,1.682,2.357,1.854,1.937,1.722,1.475,1.901,1.129,1.167,1.116
2003,1.383,1.22,1.147,1.942,1.97,1.738,1.68,1.046,2.725,2.451,2.195,1.656,0.312,0.378,0.785,0.724,3.759,4.711,2.468,2.11,2.877,2.601,3.213,4.073,2.067,2.671,2.23,3.405,0.937,1.855,1.565,1.634,1.622,1.35,1.5,1.41,0.951,1.009
2004,2.639,1.9,1.915,1.326,2.689,2.151,2.824,2.227,5.224,4.439,3.169,2.33,0.385,0.46,1.172,0.844,4.364,4.676,4.07,3.572,3.295,3.078,5.236,5.46,2.439,3.097,2.557,3.554,1.581,3.016,1.994,1.853,2.159,1.782,1.225,1.574,1.114,1.349
2005,2.224,1.546,1.007,1.804,1.561,1.599,1.987,1.247,4.355,3.239,2.509,1.754,0.35,0.337,0.596,0.664,3.528,3.654,2.157,2.246,1.719,1.749,2.79,3.094,1.584,2.142,2.059,2.535,0.809,1.906,1.011,0.871,1.778,1.179,0.895,0.972,0.858,0.989
2006,2.246,1.914,1.08,1.801,2.734,2.448,2.312,1.268,4.836,3.67,2.839,2.296,0.264,0.333,0.605,0.767,3.361,3.416,2.907,2.781,2.469,2.209,3.499,5.29,1.908,2.106,2.253,2.782,1.194,2.884,1.688,1.573,2.247,1.811,1.168,1.217,0.946,0.876
2007,2.406,1.682,0.97,1.477,2.69,1.547,2.012,0.966,3.572,3.225,2.263,1.743,NA,NA,0.628,0.49,3.12,3.777,2.2,1.99,2.381,2.456,4.262,4.214,2.183,2.389,2.246,2.825,0.965,2.209,1.252,1.332,1.557,1.455,1.191,1.363,0.868,1.107
2008,1.814,1.632,1.025,1.358,2.839,1.485,1.539,0.907,3.497,3.125,2.505,1.551,NA,NA,0.645,0.67,3.514,3.626,1.975,1.721,1.955,2.429,4.313,3.363,2.33,2.988,1.729,1.706,1.179,1.543,1.25,1.633,1.596,1.35,1.098,1.264,0.864,0.827
2009,1.54,1.789,0.879,1.317,2.541,1.176,2.163,0.894,3.497,3.307,2.584,1.488,NA,NA,0.433,0.646,3.067,3.288,2.238,1.662,2.739,3.081,4.285,2.748,1.995,3.128,1.536,2.663,1.534,1.461,1.806,2.212,2.382,1.368,1.627,1.71,0.889,0.909
2010,1.667,1.628,0.928,1.027,2.338,1.222,1.926,0.807,3.305,2.583,2.175,1.279,NA,NA,0.368,0.81,3.417,4,1.919,1.702,2.36,1.881,4.371,3.034,NA,NA,1.387,2.39,1.225,1.249,1.177,1.324,1.174,0.687,1.014,0.683,0.654,0.646
