"","ASPEN-GG-17-B","ASPEN-GG-17-A","ASPEN-HH-15-B","ASPEN-HH-7-B","ASPEN-HH-7-A","ASPEN-HH-3-B","ASPEN-HH-1-A","ASPEN-HH-9-B","ASPEN-HH-6-B","ASPEN-HH-3-A","ASPEN-HH-4-B","ASPEN-HH-2-A","ASPEN-HH-1-B","ASPEN-HH-9-A","ASPEN-HH-6-A","ASPEN-HH-2-B","ASPEN-HH-5-A","ASPEN-HH-18-B","ASPEN-HH-4-A","ASPEN-HH-14-B","ASPEN-HH-12-A","ASPEN-HH-20-B","ASPEN-HH-8-A","ASPEN-HH-5-B","ASPEN-HH-8-B","ASPEN-HH-14-A","ASPEN-HH-15-A","ASPEN-HH-17-A","ASPEN-HH-18-A","ASPEN-HH-17-B","ASPEN-HH-19-B","ASPEN-GG-10-A","ASPEN-GG-10-B","ASPEN-GG-9-A","ASPEN-GG-9-B","ASPEN-HH-11-A","ASPEN-GG-8-A","ASPEN-GG-8-B","ASPEN-GG-3-A","ASPEN-HH-12-B","ASPEN-HH-13-B","ASPEN-PP-3-A","ASPEN-PP-3-B","ASPEN-PP-4-A","ASPEN-PP-4-B","ASPEN-PP-5-A","ASPEN-PP-5-B","ASPEN-PP-6-A","ASPEN-PP-6-B","ASPEN-PP-7-A","ASPEN-PP-7-B","ASPEN-GG-1-A","ASPEN-GG-1-B","ASPEN-GG-6-A","ASPEN-HH-11-B","ASPEN-PP-2-A","ASPEN-PP-2-B","ASPEN-GG-2-A","ASPEN-GG-2-B","ASPEN-GG-6-B","ASPEN-HH-20-A","ASPEN-PP-1-A","ASPEN-PP-1-B","ASPEN-GG-3-B","ASPEN-GG-12-B","ASPEN-PP-14-A","ASPEN-GG-11-A","ASPEN-PP-11-A","ASPEN-PP-11-B","ASPEN-PP-16-B","ASPEN-GG-5-A","ASPEN-GG-18-B","ASPEN-GG-20-B","ASPEN-PP-14-B","ASPEN-PP-16-A","ASPEN-PP-18-B","ASPEN-GG-16-B","ASPEN-PP-10-A","ASPEN-PP-10-B","ASPEN-PP-15-A","ASPEN-GG-5-B","ASPEN-GG-11-B","ASPEN-PP-15-B","ASPEN-GG-18-A","ASPEN-PP-8-B","ASPEN-PP-17-A","ASPEN-PP-18-A","ASPEN-GG-13-A","ASPEN-GG-14-A","ASPEN-GG-13-B","ASPEN-GG-12-A","ASPEN-GG-14-B","ASPEN-GG-15-B","ASPEN-HH-19-A","ASPEN-PP-13-B","ASPEN-GG-4-A","ASPEN-GG-4-B","ASPEN-PP-9-A","ASPEN-PP-13-A","ASPEN-GG-16-A","ASPEN-GG-19-A","ASPEN-GG-15-A","ASPEN-PP-12-B","ASPEN-GG-19-B","ASPEN-PP-8-A"
"1873",1.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1874",1.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1875",1.227,2.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1876",1.191,2.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1877",0.845,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878",0.921,1.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1879",0.805,1.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1880",1.587,1.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1881",1.969,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1882",1.451,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
