,WSPRU-HH-3-A,WSPRU-HH-4-A,WSPRU-HH-4-B,WSPRU-HH-3-B,WSPRU-HH-6-A,WSPRU-HH-6-B,WSPRU-HH-2-B,WSPRU-HH-5-B,WSPRU-HH-5-A,WSPRU-HH-7-A,WSPRU-HH-2-A,WSPRU-HH-7-B,WSPRU-PP-5-B,WSPRU-PP-5-A,WSPRU-PP-2-B,WSPRU-PP-2-A,WSPRU-PP-4-A,WSPRU-PP-4-B,WSPRU-PP-8-B,WSPRU-PP-8-A,WSPRU-PP-3-B,WSPRU-PP-3-A,WSPRU-PP-6-A,WSPRU-PP-6-B,WSPRU-PP-7-A,WSPRU-PP-7-B,WSPRU-PP-1-A,WSPRU-PP-1-B
1936,0.541,0.421,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,0.578,0.407,0.323,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,0.426,0.449,0.624,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,0.455,0.573,0.572,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,0.429,0.517,0.456,0.429,0.257,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,0.52,0.356,0.356,0.33,0.231,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,0.303,0.493,0.786,0.099,0.525,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,0.19,0.508,0.679,0.353,0.399,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,0.313,0.631,0.649,0.208,0.49,0.774,0.373,0.518,0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,0.496,0.411,0.487,0.239,0.532,0.861,0.302,0.478,0.61,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,0.45,0.533,0.782,0.332,0.469,0.816,0.231,0.525,0.708,0.827,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,0.714,0.877,0.84,0.266,0.896,1.385,0.266,0.412,0.454,0.591,0.41,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,0.475,0.761,0.811,0.551,0.897,1.376,0.6,0.633,1.02,1.071,0.436,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,0.73,1.018,0.994,0.52,0.684,1.207,0.503,0.485,0.6,0.63,0.439,1.302,0.514,0.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,0.943,0.875,0.91,0.489,0.554,1.27,0.703,0.754,0.698,0.58,0.509,1.384,0.628,0.735,0.445,0.478,0.386,0.432,0.467,0.427,NA,NA,NA,NA,NA,NA,NA,NA
