"","ASPEN-II-18-B","ASPEN-II-4-B","ASPEN-II-4-A","ASPEN-II-7-B","ASPEN-II-12-A","ASPEN-II-6-A","ASPEN-II-6-B","ASPEN-II-7-A","ASPEN-II-10-B","ASPEN-II-3-B","ASPEN-II-5-A","ASPEN-II-10-A","ASPEN-II-5-B","ASPEN-II-17-A","ASPEN-II-20-B","ASPEN-II-20-A","ASPEN-II-3-A","ASPEN-II-18-A","ASPEN-QQ-6-A","ASPEN-QQ-6-B","ASPEN-QQ-7-A","ASPEN-QQ-7-B","ASPEN-QQ-10-A","ASPEN-QQ-10-B","ASPEN-QQ-4-A","ASPEN-QQ-5-A","ASPEN-QQ-8-A","ASPEN-QQ-8-B","ASPEN-QQ-11-A","ASPEN-QQ-19-B","ASPEN-QQ-1-A","ASPEN-QQ-1-B","ASPEN-QQ-3-A","ASPEN-QQ-3-B","ASPEN-QQ-9-A","ASPEN-QQ-9-B","ASPEN-QQ-14-A","ASPEN-QQ-19-A","ASPEN-QQ-2-A","ASPEN-QQ-2-B","ASPEN-QQ-11-B","ASPEN-QQ-14-B","ASPEN-QQ-15-B","ASPEN-QQ-16-A","ASPEN-QQ-16-B","ASPEN-QQ-20-B","ASPEN-II-13-A","ASPEN-II-13-B","ASPEN-II-11-B","ASPEN-QQ-20-A","ASPEN-QQ-12-A","ASPEN-QQ-12-B","ASPEN-QQ-15-A","ASPEN-QQ-18-A","ASPEN-QQ-18-B","ASPEN-II-14-A","ASPEN-II-15-B","ASPEN-QQ-13-A","ASPEN-QQ-13-B","ASPEN-II-19-A","ASPEN-II-11-A","ASPEN-II-19-B","ASPEN-II-14-B"
"1924",2.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1925",1.291,0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1926",1.732,0.446,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1927",1.817,0.261,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1928",1.42,0.344,0.502,0.346,2.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1929",1.379,0.286,0.38,0.687,3.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930",1.225,0.723,0.238,1.384,2.105,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1931",1.139,0.356,0.336,0.416,2.394,1.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932",1.261,0.478,0.585,0.15,1.212,0.259,0.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933",1.136,0.722,0.471,0.06,1.267,0.31,0.14,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
