"","WSPRU-R-1-A","WSPRU-R-1-B","WSPRU-R-2-A","WSPRU-R-2-B","WSPRU-R-3-A","WSPRU-R-10-B","WSPRU-R-3-B","WSPRU-R-5-A","WSPRU-R-5-B","WSPRU-R-10-A","WSPRU-R-4-B","WSPRU-R-4-A","WSPRU-R-12-B","WSPRU-R-12-A","WSPRU-R-9-B","WSPRU-R-11-B","WSPRU-R-11-A","WSPRU-R-13-B","WSPRU-R-7-A","WSPRU-R-7-B","WSPRU-R-14-B","WSPRU-R-8-A","WSPRU-U-7-A","WSPRU-U-10-B","WSPRU-U-9-B","WSPRU-U-11-A","WSPRU-U-10-A","WSPRU-R-8-B","WSPRU-R-13-A","WSPRU-U-8-A","WSPRU-R-14-A","WSPRU-U-7-B","WSPRU-U-9-A","WSPRU-U-11-B","WSPRU-U-13-A","WSPRU-R-9-A","WSPRU-U-12-B","WSPRU-U-13-B","WSPRU-U-14-B","WSPRU-U-8-B","WSPRU-U-14-A","WSPRU-U-12-A"
"1954",0.846,0.423,0.16,0.124,0.286,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",0.885,0.355,0.293,0.128,0.48,0.728,0.618,0.529,0.551,1.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",1.218,1.006,0.26,0.178,0.282,0.388,1.093,0.646,0.441,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",0.85,0.413,0.551,0.268,0.197,0.328,1.043,0.344,0.304,0.44,0.533,0.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",0.185,0.38,0.599,0.314,0.464,0.336,0.549,0.405,0.548,0.715,0.525,0.5,0.461,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959",0.478,0.838,0.347,0.327,0.312,0.511,0.982,0.595,0.527,0.292,0.525,0.929,0.586,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1960",0.705,0.649,0.785,0.336,0.471,0.702,0.908,0.52,0.448,0.291,0.63,0.825,0.499,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961",0.744,0.75,0.584,0.483,0.515,0.791,1.162,0.485,0.525,0.416,0.648,0.603,0.495,0.401,1.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962",0.436,0.453,0.504,0.271,0.556,0.653,0.84,0.475,0.735,0.389,0.396,0.438,0.474,0.411,1.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963",0.431,0.572,0.36,0.531,0.477,0.717,0.789,0.483,0.639,0.518,0.548,0.602,0.397,0.35,2.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
