"","ASPEN-V-10-A","ASPEN-TAT-3-A","ASPEN-TAT-3-B","ASPEN-TAT-9-A","ASPEN-V-4-A","ASPEN-V-7-B","ASPEN-TAT-9-B","ASPEN-TAT-7-A","ASPEN-TAT-7-B","ASPEN-TAT-1-A","ASPEN-TAT-13-A","ASPEN-V-17-B","ASPEN-TAT-10-A","ASPEN-TAT-10-B","ASPEN-TAT-5-A","ASPEN-TAT-1-B","ASPEN-TAT-17-B","ASPEN-V-3-A","ASPEN-V-3-B","ASPEN-V-15-A","ASPEN-V-16-A","ASPEN-V-16-B","ASPEN-TAT-6-B","ASPEN-TAT-12-B","ASPEN-TAT-16-A","ASPEN-TAT-17-A","ASPEN-V-2-A","ASPEN-V-5-A","ASPEN-V-5-B","ASPEN-V-9-A","ASPEN-V-1-A","ASPEN-V-12-B","ASPEN-V-15-B","ASPEN-TAT-5-B","ASPEN-V-6-A","ASPEN-V-6-B","ASPEN-V-7-A","ASPEN-V-8-B","ASPEN-V-13-B","ASPEN-TAT-4-A","ASPEN-TAT-4-B","ASPEN-TAT-6-A","ASPEN-TAT-12-A","ASPEN-TAT-16-B","ASPEN-V-10-B","ASPEN-V-13-A","ASPEN-V-14-A","ASPEN-TAT-13-B","ASPEN-TAT-18-A","ASPEN-TAT-18-B","ASPEN-V-8-A","ASPEN-TAT-2-A","ASPEN-TAT-11-B","ASPEN-V-11-B","ASPEN-V-11-A","ASPEN-V-12-A","ASPEN-V-17-A","ASPEN-V-18-B","ASPEN-V-18-A","ASPEN-TAT-8-B","ASPEN-V-1-B","ASPEN-V-14-B","ASPEN-TAT-2-B","ASPEN-TAT-11-A","ASPEN-TAT-15-B","ASPEN-TAT-15-A","ASPEN-TAT-14-A","ASPEN-TAT-8-A","ASPEN-TAT-14-B"
"1945",1.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946",1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947",1.738,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",0.983,1.589,1.135,0.801,0.654,2.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",2.128,0.832,0.925,0.605,0.549,1.244,0.844,1.102,1.106,1.65,1.183,1.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",1.08,0.938,1.351,0.553,0.424,0.985,1.052,1.152,1.054,2.426,1.502,1.739,1.034,0.46,0.391,2.639,2.983,0.695,0.581,1.231,1.477,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",1.238,0.909,1.236,0.633,0.608,1.39,0.672,0.971,0.563,2.196,1.874,0.542,1.178,0.719,0.304,2.169,2.994,0.482,0.511,1.404,1.681,1.561,2.275,2.035,4.04,3.485,1.601,1.526,0.847,0.716,0.741,1.031,1.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",1.893,2.205,2.298,0.374,0.431,1.194,0.433,1.552,1.018,2.531,2.918,1.538,0.632,0.666,0.463,2.465,3.077,0.701,0.694,1.97,1.716,1.474,1.512,2.633,2.482,2.208,1.11,0.814,1.775,0.817,0.887,0.811,2.212,0.404,0.792,0.768,1.83,1.428,1.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953",1.561,2.085,2.645,0.451,0.65,1.54,0.403,2.436,2.535,2.016,3.275,1.798,1.105,0.54,0.469,2.014,0.675,0.428,0.4,2.288,1.647,1.285,3.01,4.113,3.727,0.412,0.93,0.519,1.621,1.658,1.014,1.608,2.665,0.457,0.516,0.584,1.289,1.992,1.248,2.79,2.619,2.778,3.915,2.711,1.843,0.597,1.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",0.809,2.439,2.168,0.606,0.618,1.533,0.512,1.919,1.546,1.584,0.22,1.473,0.948,0.612,0.658,1.375,1.071,0.516,0.445,2.1,2.074,1.64,0.289,3.746,0.193,0.634,1.099,0.962,1.695,0.711,0.763,1.3,2.644,0.3,0.417,0.533,1.027,1.831,1.023,2.577,2.087,0.31,3.467,3.285,0.846,0.877,1.486,3.264,1.205,1.572,1.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
