"","WSPRU-T-1-B","WSPRU-T-1-A","WSPRU-V-12-A","WSPRU-V-12-B","WSPRU-V-11-B","WSPRU-V-11-A","WSPRU-V-10-A","WSPRU-V-10-B","WSPRU-V-9-B","WSPRU-V-9-A","WSPRU-T-4-A","WSPRU-T-4-B","WSPRU-T-5-A","WSPRU-T-5-B","WSPRU-T-8-A","WSPRU-T-15-B","WSPRU-T-15-A","WSPRU-T-8-B","WSPRU-V-13-A","WSPRU-T-2-A","WSPRU-T-2-B","WSPRU-V-1-B","WSPRU-V-1-A","WSPRU-T-10-B","WSPRU-T-13-A","WSPRU-V-3-B","WSPRU-V-4-B","WSPRU-V-6-B","WSPRU-T-12-A","WSPRU-T-13-B","WSPRU-V-3-A","WSPRU-T-9-B","WSPRU-V-2-B","WSPRU-V-2-A","WSPRU-V-4-A","WSPRU-V-5-B","WSPRU-V-6-A","WSPRU-T-9-A","WSPRU-T-11-B","WSPRU-V-5-A","WSPRU-V-7-B","WSPRU-V-7-A","WSPRU-V-8-B","WSPRU-T-6-A","WSPRU-T-6-B","WSPRU-T-12-B","WSPRU-V-8-A","WSPRU-T-14-B","WSPRU-T-7-B","WSPRU-T-7-A"
"1956",0.943,0.907,0.373,0.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",0.809,0.837,0.384,0.338,0.838,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",0.892,1.055,0.61,0.316,0.186,0.369,0.504,0.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959",0.54,0.477,0.212,0.637,0.295,0.242,0.296,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1960",1.028,1.064,0.341,0.102,0.181,0.265,0.391,0.338,1.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961",0.862,0.786,0.44,0.315,0.287,0.372,0.314,0.267,0.325,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962",0.815,0.861,0.423,0.473,0.279,0.256,0.4,0.394,0.301,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963",1.085,1.09,0.441,0.514,0.236,0.397,0.262,0.432,0.331,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964",1.976,1.963,0.178,0.58,0.661,0.607,0.543,0.751,0.377,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1965",2.113,2.14,0.088,0.433,0.661,0.732,0.615,0.62,0.22,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1966",1.44,1.395,0.085,0.1,0.572,0.602,0.616,0.541,0.227,0.344,0.534,0.624,0.619,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967",1.372,1.414,0.134,0.107,0.532,0.499,0.38,0.418,0.299,0.664,0.757,0.854,1.025,0.974,1.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968",1.479,1.484,0.071,0.16,0.821,0.847,0.592,0.454,0.333,0.198,0.509,0.511,0.613,0.588,2.169,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969",1.034,1.04,0.156,0.143,0.689,0.639,0.799,0.567,0.604,0.252,0.426,0.414,0.326,0.358,1.378,0.753,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970",1.704,1.715,0.224,0.277,0.916,0.852,0.614,0.857,0.36,0.511,0.678,0.719,0.678,0.631,2.034,1.1,1.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971",1.156,1.072,0.178,0.165,0.767,0.513,0.59,0.891,0.783,0.385,0.701,0.592,0.715,0.594,1.942,1.28,0.967,2.052,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
