"","ASPEN-E-1-A","ASPEN-E-1-B","ASPEN-E-2-A","ASPEN-E-4-B","ASPEN-E-3-A","ASPEN-E-3-B","ASPEN-E-7-A","ASPEN-E-8-B","ASPEN-E-4-A","ASPEN-E-6-A","ASPEN-E-7-B","ASPEN-E-5-A","ASPEN-E-5-B","ASPEN-E-2-B","ASPEN-E-8-A","ASPEN-C-7-B","ASPEN-C-8-B","ASPEN-C-7-A","ASPEN-C-1-B","ASPEN-C-3-A","ASPEN-C-5-A","ASPEN-C-4-A","ASPEN-C-5-B","ASPEN-C-6-A","ASPEN-C-1-A","ASPEN-C-4-B","ASPEN-C-6-B","ASPEN-C-2-B","ASPEN-C-3-B","ASPEN-C-2-A","ASPEN-C-8-A"
"1948",1.793,1.919,2.125,1.015,1.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",4.066,3.754,3.704,1.16,2.199,2.333,2.315,1.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",3.387,3.033,3.155,2.109,2.594,2.796,2.223,2.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",2.528,2.248,2.963,2.886,2.838,3.175,2.728,3.614,2.947,2.353,2.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",1.883,2.097,1.965,2.431,2.576,2.715,2.701,3.701,2.21,2.764,2.565,2.622,2.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953",1.978,2.17,1.958,2.777,2.488,2.953,2.875,2.973,2.733,2.283,2.625,3.124,2.926,1.845,3.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",2.107,2.132,2.534,2.856,2.781,2.759,2.378,2.502,2.481,2.581,2.594,2.719,2.977,2.189,2.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",1.633,1.734,2.428,2.834,2.683,2.705,2.715,3.025,2.329,2.435,2.777,2.648,2.801,2.084,2.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",1.883,2.123,2.83,2.58,2.525,2.956,2.784,3.032,2.681,2.796,2.799,2.967,2.904,1.992,3.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",2.408,2.236,3.024,2.664,2.743,2.654,2.767,3.25,2.905,2.585,2.623,2.616,2.823,2.598,3.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
