"","WSPRU-C-17-B","WSPRU-C-19-A","WSPRU-C-16-A","WSPRU-C-16-B","WSPRU-C-18-A","WSPRU-C-18-B","WSPRU-C-19-B","WSPRU-C-17-A","WSPRU-C-15-B","WSPRU-C-15-A","WSPRU-C-13-A","WSPRU-C-13-B","WSPRU-C-12-B","WSPRU-C-12-A","WSPRU-C-14-B","WSPRU-C-14-A","WSPRU-E-15-A","WSPRU-E-15-B","WSPRU-E-14-B","WSPRU-E-8-B","WSPRU-E-8-A","WSPRU-E-11-A","WSPRU-E-14-A","WSPRU-E-13-B","WSPRU-E-9-B","WSPRU-E-10-A","WSPRU-E-11-B","WSPRU-E-12-B","WSPRU-E-13-A","WSPRU-E-10-B","WSPRU-E-12-A","WSPRU-E-7-A","WSPRU-E-9-A","WSPRU-E-7-B"
"1943",1.57,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1944",1.403,1.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1945",1.853,0.711,0.733,1.045,0.692,1.057,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946",1.729,1.113,0.939,0.695,1.165,1.12,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947",1.801,1.404,0.883,1.622,1.159,1.027,1.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",1.939,1.598,1.325,0.677,1.28,1.374,1.266,2.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",2.343,1.388,0.967,0.996,1.392,1.365,1.353,1.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",1.917,1.888,1.04,1.126,1.515,1.39,1.706,1.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",1.705,1.569,1.393,1.121,1.428,1.363,1.641,1.664,1.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",1.645,1.599,1.683,0.901,1.353,1.27,1.335,1.407,1.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
