"","WSPRU-Q-16-A","WSPRU-X-2-B","WSPRU-X-2-A","WSPRU-X-4-A","WSPRU-X-4-B","WSPRU-X-10-B","WSPRU-Q-9-A","WSPRU-X-11-A","WSPRU-X-6-B","WSPRU-X-6-A","WSPRU-X-10-A","WSPRU-X-3-A","WSPRU-X-3-B","WSPRU-X-1-A","WSPRU-X-1-B","WSPRU-X-5-A","WSPRU-X-5-B","WSPRU-X-9-A","WSPRU-X-12-A","WSPRU-Q-11-A","WSPRU-Q-11-B","WSPRU-X-9-B","WSPRU-X-11-B","WSPRU-X-12-B","WSPRU-X-8-B","WSPRU-X-8-A","WSPRU-X-7-A","WSPRU-Q-13-B","WSPRU-Q-13-A","WSPRU-X-7-B","WSPRU-Q-15-B","WSPRU-Q-15-A","WSPRU-X-14-A","WSPRU-X-5-C","WSPRU-Q-10-B","WSPRU-Q-10-A","WSPRU-X-13-B","WSPRU-X-13-A","WSPRU-W-10-A","WSPRU-W-10-B","WSPRU-W-3-A","WSPRU-W-11-B","WSPRU-W-11-A","WSPRU-W-13-A","WSPRU-W-13-B","WSPRU-W-1-A","WSPRU-W-1-B","WSPRU-W-2-A","WSPRU-W-3-B","WSPRU-W-14-A","WSPRU-W-14-B","WSPRU-W-15-B","WSPRU-W-15-A","WSPRU-W-16-A","WSPRU-W-16-B","WSPRU-W-9-A","WSPRU-W-4-B","WSPRU-W-9-B","WSPRU-Q-12-A","WSPRU-Q-12-B","WSPRU-W-4-A","WSPRU-W-5-A","WSPRU-W-5-B","WSPRU-W-2-B"
"1949",0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",0.384,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",0.448,0.387,0.25,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",0.62,0.703,0.408,1.62,1.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953",0.386,0.759,0.481,0.407,0.249,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",0.68,0.985,0.494,0.637,0.463,0.114,0.494,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",0.929,1.204,0.702,0.587,0.369,0.093,0.586,0.221,0.437,0.525,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",0.796,1.001,0.732,0.533,0.338,0.108,0.327,0.184,0.688,0.402,0.172,0.99,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",1.618,0.417,0.327,0.386,0.28,0.151,0.486,0.199,0.71,0.361,0.175,1.193,0.599,0.642,0.614,0.334,0.363,1.049,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",0.528,0.716,1.036,0.574,0.357,0.241,0.411,0.218,0.733,0.539,0.37,0.613,0.721,1.157,0.79,0.458,0.622,2.001,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959",1.016,0.846,0.444,0.538,0.355,0.331,0.802,0.222,0.547,0.485,0.399,0.686,0.695,0.484,0.697,0.508,0.665,1.901,1.043,0.243,0.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
