"","ASPEN-AA-13-A","ASPEN-AA-12-A","ASPEN-AA-1-B","ASPEN-AA-3-A","ASPEN-AA-12-B","ASPEN-AA-13-B","ASPEN-AA-16-A","ASPEN-AA-8-A","ASPEN-AA-10-C","ASPEN-AA-6-A","ASPEN-AA-1-A","ASPEN-AA-7-B","ASPEN-AA-15-B","ASPEN-AA-14-A","ASPEN-AA-14-B","ASPEN-AA-5-C","ASPEN-AA-9-B","ASPEN-AA-17-A","ASPEN-AA-11-A","ASPEN-AA-11-B","ASPEN-AA-10-A","ASPEN-AA-2-C","ASPEN-AA-15-A","ASPEN-AA-16-B","ASPEN-AA-17-B","ASPEN-AA-18-A","ASPEN-AA-18-B","ASPEN-AA-6-B","ASPEN-AA-7-A","ASPEN-AA-4-A","ASPEN-ZZ-4-A","ASPEN-ZZ-4-B","ASPEN-ZZ-5-A","ASPEN-ZZ-5-B","ASPEN-ZZ-6-A","ASPEN-ZZ-6-B","ASPEN-ZZ-10-A","ASPEN-ZZ-10-B","ASPEN-AA-5-A","ASPEN-ZZ-2-A","ASPEN-ZZ-2-B","ASPEN-ZZ-9-A","ASPEN-ZZ-9-B","ASPEN-AA-4-B","ASPEN-ZZ-7-A","ASPEN-ZZ-7-B","ASPEN-ZZ-8-A","ASPEN-ZZ-8-B","ASPEN-ZZ-19-B","ASPEN-ZZ-1-A","ASPEN-ZZ-15-A","ASPEN-ZZ-1-B","ASPEN-ZZ-16-B","ASPEN-ZZ-15-B","ASPEN-ZZ-20-B","ASPEN-ZZ-3-B","ASPEN-ZZ-11-A","ASPEN-ZZ-11-B","ASPEN-ZZ-12-B","ASPEN-ZZ-16-A","ASPEN-ZZ-18-A","ASPEN-ZZ-18-B","ASPEN-ZZ-14-B","ASPEN-ZZ-12-A","ASPEN-ZZ-13-A","ASPEN-ZZ-13-B","ASPEN-ZZ-14-A","ASPEN-ZZ-3-A"
"1930",1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1931",0.912,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932",0.975,1.064,1.119,1.771,1.409,0.674,1.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933",1.769,0.972,1.29,1.992,1.081,0.998,1.18,1.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1934",1.112,0.972,2.986,2.231,1.384,1.042,0.246,1.518,1.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1935",1.84,0.537,2.168,2.769,0.784,0.786,1.416,2.334,2.722,2.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936",1.299,1.501,1.677,3.113,1.327,1.177,2.151,2.592,2.578,2.264,2.023,1.793,2.439,0.845,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1937",0.454,1.094,2.478,2.032,1.266,0.857,1.261,1.27,0.788,1.281,1.299,0.599,1.6,0.344,0.251,1.07,1.896,1.001,0.569,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1938",1.31,2.334,2.302,2.356,2.01,0.858,1.613,1.767,1.189,1.994,1.517,1.332,2.341,1.554,1.482,2.314,1.377,1.183,1.397,1.499,1.074,2.179,2.323,3.226,1.837,2.216,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939",0.813,2.639,2.157,2.488,2.188,0.798,1.472,1.127,0.938,2.204,2.471,1.144,2.225,0.905,0.749,2.303,1.293,1.143,1.222,1.191,1.24,2.223,2.242,2.776,1.422,1.537,1.721,1.326,1.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
