"","WSPRU-AA-8-A","WSPRU-AA-8-B","WSPRU-AA-3-A","WSPRU-AA-4-A","WSPRU-AA-4-B","WSPRU-AA-5-B","WSPRU-AA-5-A","WSPRU-AA-6-B","WSPRU-AA-6-A","WSPRU-AA-7-A","WSPRU-AA-7-B","WSPRU-AA-9-B","WSPRU-AA-9-A","WSPRU-G-5-B","WSPRU-G-5-A","WSPRU-AA-3-B","WSPRU-AA-10-B","WSPRU-AA-10-A","WSPRU-G-1-A","WSPRU-G-1-B","WSPRU-AA-2-B","WSPRU-AA-2-A","WSPRU-ZZ-8-B","WSPRU-ZZ-8-A","WSPRU-AA-1-A","WSPRU-AA-1-B","WSPRU-ZZ-4-B","WSPRU-ZZ-4-A","WSPRU-ZZ-9-A","WSPRU-ZZ-1-A","WSPRU-ZZ-1-B","WSPRU-ZZ-2-A","WSPRU-ZZ-2-B","WSPRU-ZZ-10-B","WSPRU-ZZ-10-A","WSPRU-G-3-A","WSPRU-G-3-B","WSPRU-ZZ-7-A","WSPRU-ZZ-7-B","WSPRU-ZZ-9-B","WSPRU-G-2-A","WSPRU-G-2-B","WSPRU-G-9-B","WSPRU-G-12-A","WSPRU-ZZ-3-B","WSPRU-ZZ-3-A","WSPRU-ZZ-6-A","WSPRU-ZZ-6-B","WSPRU-G-12-B","WSPRU-ZZ-5-A","WSPRU-ZZ-5-B","WSPRU-G-11-B","WSPRU-G-7-B","WSPRU-G-11-A","WSPRU-G-8-B","WSPRU-G-7-A","WSPRU-G-9-A","WSPRU-G-10-A","WSPRU-G-10-B","WSPRU-G-8-A","WSPRU-G-6-B","WSPRU-G-6-A"
"1953",0.532,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",0.46,0.531,0.473,0.434,0.454,0.933,0.91,0.696,0.632,0.419,0.494,0.691,0.655,0.912,0.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",0.562,0.543,0.347,0.531,0.385,1.098,0.794,0.685,0.671,0.348,0.358,0.509,0.479,1.479,1.392,0.368,0.559,0.622,0.535,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",0.361,0.41,0.408,0.399,0.443,0.993,0.5,0.722,0.314,0.265,0.254,0.17,0.184,0.686,1.054,0.261,0.197,0.145,0.328,0.296,0.666,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",0.21,0.25,0.571,0.559,0.44,0.851,0.491,0.484,0.837,0.381,0.378,0.254,0.338,1.141,0.857,0.465,0.385,0.249,0.28,0.278,0.531,0.545,0.464,0.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",0.574,0.292,0.28,0.59,0.727,0.707,0.519,0.508,0.956,0.467,0.43,0.541,0.401,0.635,0.957,0.318,0.29,0.383,0.555,0.439,0.186,0.276,0.28,0.385,0.488,0.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959",0.756,0.348,0.621,0.645,0.695,0.842,0.605,0.573,0.646,0.412,0.385,0.696,0.41,1.014,1.159,0.352,0.308,0.278,0.571,0.545,0.277,0.459,0.323,0.349,0.369,0.522,0.325,0.626,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1960",0.812,0.735,0.624,0.59,0.824,1.365,1.029,0.812,0.567,0.557,0.592,1.014,0.614,1.351,1.63,0.396,0.428,0.369,0.651,0.571,0.622,0.557,0.359,0.227,0.655,0.889,0.237,0.417,0.57,0.659,0.676,0.567,0.668,0.699,0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961",0.693,0.815,0.678,0.523,0.471,1.293,1.423,0.943,0.932,0.513,0.328,0.607,0.694,1.96,1.599,0.221,0.415,0.254,0.859,0.694,0.653,0.866,0.572,0.446,0.961,0.955,0.431,0.743,0.395,0.52,0.447,0.405,0.46,0.779,0.799,0.615,0.695,0.853,0.739,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962",0.725,0.696,0.864,0.655,0.74,1.32,1.627,0.912,0.955,0.349,0.295,0.571,0.7,2.025,1.874,0.789,0.763,0.678,0.433,0.4,0.657,0.762,0.516,0.41,0.919,1.193,0.729,0.676,0.691,0.612,0.582,0.371,0.475,0.452,0.473,1.013,1.267,0.701,0.532,0.571,0.432,0.506,1.299,1.494,1.472,1.107,1.18,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963",0.527,0.569,0.312,0.687,0.725,1.272,1.461,0.793,0.604,0.535,0.357,0.544,0.387,1.408,1.384,0.914,0.44,0.36,0.567,0.414,0.847,0.763,0.344,0.373,1.032,1.133,0.532,0.818,1.421,0.788,0.907,0.971,0.82,0.812,0.879,0.923,1.075,0.864,0.835,0.804,0.847,0.861,1.975,1.947,0.608,0.704,1.172,1.129,2.364,0.665,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964",1.195,1.21,0.704,0.67,0.695,1.475,1.316,1.024,0.898,0.344,0.385,0.842,0.653,1.394,1.338,0.628,0.449,0.335,0.542,0.577,0.889,1.066,0.585,0.678,0.961,1.161,0.79,0.623,1.44,1.47,0.969,1.59,1.253,0.801,0.677,1.003,1.174,1.619,1.545,0.822,0.52,0.667,1.896,2.163,0.737,1.036,1.097,1.054,2.85,0.691,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
