"","ASPEN-TA9-5-A","ASPEN-TA9-2-A","ASPEN-TA9-7-A","ASPEN-TA9-7-B","ASPEN-TA9-2-B","ASPEN-TA9-6-A","ASPEN-TA9-8-A","ASPEN-TA9-8-B","ASPEN-TA9-3-B","ASPEN-TA9-4-B","ASPEN-TA9-5-B","ASPEN-TA9-6-B","ASPEN-TA9-1-A","ASPEN-TA9-1-B","ASPEN-TA9-4-A","ASPEN-TA7-6-B","ASPEN-TA9-3-A","ASPEN-TA7-6-A","ASPEN-TA6-6-B","ASPEN-TA6-8-A","ASPEN-TA6-5-B","ASPEN-TA6-7-A","ASPEN-TA6-6-A","ASPEN-TA6-4-D","ASPEN-TA6-7-B","ASPEN-TA6-8-B","ASPEN-TA7-2-A","ASPEN-TA6-4-A","ASPEN-TA6-4-B","ASPEN-TA6-5-A","ASPEN-TA7-1-A","ASPEN-TA7-3-A","ASPEN-TA7-3-B","ASPEN-TA7-5-A","ASPEN-TA7-5-B","ASPEN-TA7-1-B","ASPEN-TA7-2-B","ASPEN-TA7-4-A","ASPEN-TA6-2-A","ASPEN-TA6-2-B","ASPEN-TA6-3-A","ASPEN-TA6-1-B","ASPEN-TA6-1-A"
"1943",2.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1944",3.35,2.597,2.526,2.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1945",1.974,1.666,1.549,1.698,1.831,1.607,1.586,1.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946",1.662,2.299,1.757,2.068,3.316,2.19,2.131,1.67,1.519,1.744,2.22,3.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947",2.717,3.032,2.536,2.553,3.596,3.369,1.595,2.045,1.824,1.662,2.585,3.861,2.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",2.195,2.595,1.771,1.802,2.998,3.241,1.822,1.748,0.546,1.077,2.134,3.195,2.212,1.898,1.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",0.432,0.476,1.072,1.381,0.573,2.581,1.355,1.806,1.329,0.198,0.598,2.446,1.456,1.247,0.391,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",1.173,2.394,1.535,1.621,2.481,2.681,1.423,1.315,1.823,1.077,1.476,2.446,2.345,2.386,1.872,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",0.99,1.98,1.51,1.42,2.377,1.891,2.229,1.572,2.131,0.879,1.351,2.735,2.117,2.401,1.726,0.952,2.187,1.152,1.318,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",2.178,2.508,1.899,1.514,2.311,2.787,1.62,2.118,2.424,1.311,1.972,2.39,3.065,3.079,1.94,2.345,2.06,2.229,2.058,1.631,1.941,2.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953",1.217,1.761,1.339,1.318,1.231,1.995,2.191,1.526,2.065,1.098,1.363,2.529,2.382,2.457,1.089,2.903,1.944,2.16,2.216,0.87,1.829,2.649,2.468,3.028,1.987,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",2.897,2.199,1.75,1.852,1.994,2.122,1.852,2.006,2.357,1.312,1.992,2.082,2.337,2.443,1.778,2.375,2.364,2.146,2.031,2.154,1.471,2.319,2.437,2.353,2.493,2.971,1.37,3.424,3.014,2.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",2.67,1.876,1.712,1.602,1.686,1.473,1.79,1.835,1.865,1.072,1.564,2.208,2.378,2.748,1.446,2.222,1.772,2.104,1.634,2.189,0.62,2.63,1.883,2.695,3.493,2.392,1.19,2.727,2.321,2.058,1.448,1.459,1.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",2.706,0.6,2.212,2.109,0.664,1.916,1.656,2.001,0.616,1.308,0.643,2.418,1.421,2.277,1.277,2.935,0.906,2.53,1.276,1.835,0.708,2.176,1.562,2.377,2.962,2.434,1.475,2.76,2.802,1.98,2.016,1.554,1.548,1.882,2.004,NA,NA,NA,NA,NA,NA,NA,NA
"1957",2.127,2.214,1.672,1.258,1.492,1.343,1.529,1.611,1.496,1.113,2.872,1.573,1.826,2.657,1.035,0.986,1.711,0.537,1.274,2.002,1.047,3.246,1.814,1.797,3.347,2.435,1.251,2.263,2.306,1.5,1.876,1.494,1.704,0.858,0.92,NA,NA,NA,NA,NA,NA,NA,NA
"1958",1.589,1.949,1.522,1.409,1.52,1.561,1.47,1.354,1.362,1.09,2.211,1.796,1.718,2.034,1.082,0.729,1.303,0.438,0.952,1.384,1.268,2.074,1.339,1.807,2.029,1.825,0.544,2.641,1.83,1.248,1.256,0.757,0.828,1.902,2.232,NA,NA,NA,NA,NA,NA,NA,NA
"1959",2.108,2.268,1.28,1.237,1.714,1.255,1.891,1.395,1.528,1.436,2.552,1.749,2.678,2.53,1.369,2.739,1.65,2.257,1.881,1.624,1.619,2.088,2.104,1.871,2.562,2.474,0.863,1.684,1.848,1.125,0.814,1.519,1.344,1.654,1.864,0.906,NA,NA,NA,NA,NA,NA,NA
"1960",1.108,1.406,1.606,1.893,1.513,1.685,2.09,1.55,1.167,1.158,1.365,1.966,2.608,2.443,1.076,3.18,1.168,2.708,2.019,1.856,2.295,2.541,2.665,1.734,2.743,2.614,0.81,1.158,1.898,1.58,1.423,1.297,1.153,1.93,2.359,0.758,1.107,NA,NA,NA,NA,NA,NA
"1961",1.32,2.956,1.601,1.51,1.975,1.119,0.499,1.709,1.841,1.393,2.62,0.454,2.889,2.501,1.231,1.485,1.261,1.603,0.823,0.7,1.185,1.498,0.829,0.294,2.183,1.091,0.883,2.221,1.729,2.196,1.106,1.407,1.276,0.349,0.348,0.783,1.183,NA,NA,NA,NA,NA,NA
"1962",0.258,0.57,0.438,0.557,0.579,0.225,0.159,0.359,0.324,0.324,0.345,0.23,2.465,0.865,0.38,0.97,0.449,1.152,0.234,0.162,0.089,0.239,0.175,0.121,0.288,0.2,0.158,0.534,0.314,0.812,0.238,0.108,0.142,0.083,0.075,0.071,0.184,NA,NA,NA,NA,NA,NA
"1963",0.18,0.293,0.135,0.165,0.185,0.333,0.649,0.146,0.229,0.203,0.311,0.713,0.973,0.219,0.243,0.052,0.228,0.089,0.074,0.182,0.22,0.831,0.055,0.064,1.018,0.315,0.059,0.493,0.075,0.219,0.112,0.695,0.638,0.317,0.286,0.095,0.111,NA,NA,NA,NA,NA,NA
"1964",0.885,1.29,0.413,0.55,1.636,0.986,1.253,0.819,1.035,1.226,1.059,1.172,1.411,1.054,1.582,0.22,0.812,0.18,0.235,0.869,0.809,2.314,0.215,0.379,1.327,1.168,0.672,1.291,0.092,1.28,1.192,0.994,0.817,0.603,0.783,0.887,0.94,NA,NA,NA,NA,NA,NA
