,WSPRU-TA6-11-A,WSPRU-TA6-11-B,WSPRU-B-2-A,WSPRU-B-2-B,WSPRU-B-4-A,WSPRU-B-4-B,WSPRU-B-5-B,WSPRU-B-5-A,WSPRU-B-1-B,WSPRU-B-1-A,WSPRU-TA10-5-A,WSPRU-TA10-5-B,WSPRU-TA9-5-A,WSPRU-TA9-5-B,WSPRU-TA10-1-A,WSPRU-TA10-1-B,WSPRU-TA10-2-A,WSPRU-TA10-2-B,WSPRU-TA10-7-A,WSPRU-TA10-7-B,WSPRU-B-3-A,WSPRU-B-3-B,WSPRU-TA7-7-B,WSPRU-TA7-9-A,WSPRU-TA8-3-B,WSPRU-TA8-3-A,WSPRU-TA8-7-A,WSPRU-TA8-7-B,WSPRU-TA9-3-B,WSPRU-TA9-3-A,WSPRU-TA10-9-A,WSPRU-TA7-13-A,WSPRU-TA8-4-B,WSPRU-TA8-4-A,WSPRU-TA8-4-c,WSPRU-TA9-6-B,WSPRU-TA9-6-A,WSPRU-A-1-B,WSPRU-B-9-B,WSPRU-TA7-7-A,WSPRU-TA8-2-A,WSPRU-TA8-2-B,WSPRU-TA8-5-B,WSPRU-TA8-5-A,WSPRU-A-1-A,WSPRU-B-7-B,WSPRU-B-7-A,WSPRU-TA7-10-B,WSPRU-TA10-13-B,WSPRU-B-9-A,WSPRU-TA7-8-A,WSPRU-TA7-9-B,WSPRU-TA10-10-B,WSPRU-TA10-10-A,WSPRU-B-8-B,WSPRU-F-1-A,WSPRU-F-1-B,WSPRU-TA7-8-B,WSPRU-TA7-13-B,WSPRU-TA10-8-A,WSPRU-TA10-12-B,WSPRU-TA10-12-A,WSPRU-A-9-B,WSPRU-A-10-A,WSPRU-A-10-B,WSPRU-B-11-A,WSPRU-B-11-B,WSPRU-H-3-B,WSPRU-H-3-A,WSPRU-H-5-A,WSPRU-H-5-B,WSPRU-TA7-11-B,WSPRU-TA8-6-B,WSPRU-TA8-6-A,WSPRU-A-4-A,WSPRU-A-4-B,WSPRU-B-10-B,WSPRU-TA6-5-A,WSPRU-TA6-5-B,WSPRU-TA7-14-B,WSPRU-TA10-6-B,WSPRU-TA10-6-A,WSPRU-A-2-B,WSPRU-A-2-A,WSPRU-H-4-A,WSPRU-H-4-B,WSPRU-TA6-2-A,WSPRU-TA6-2-B,WSPRU-TA6-7-B,WSPRU-TA6-7-A,WSPRU-TA6-8-B,WSPRU-TA6-8-A,WSPRU-TA6-8-C,WSPRU-TA6-10-A,WSPRU-TA7-10-A,WSPRU-TA7-12-A,WSPRU-TA9-12-B,WSPRU-TA10-4-A,WSPRU-TA10-4-B,WSPRU-A-9-A,WSPRU-B-10-A,WSPRU-H-9-B,WSPRU-TA6-10-B,WSPRU-TA7-12-B,WSPRU-TA8-9-A,WSPRU-TA8-10-B,WSPRU-TA8-11-B,WSPRU-TA9-13-B,WSPRU-TA10-3-A,WSPRU-TA10-3-B,WSPRU-TA10-9-B,WSPRU-TA10-13-A,WSPRU-TA10-14-B,WSPRU-B-8-A,WSPRU-B-13-B,WSPRU-H-9-A,WSPRU-TA9-8-A,WSPRU-TA9-12-A,WSPRU-TA10-8-B,WSPRU-F-2-A,WSPRU-H-2-B,WSPRU-H-2-A,WSPRU-TA7-11-A,WSPRU-TA7-14-A,WSPRU-TA8-11-A,WSPRU-TA8-12-A,WSPRU-TA9-9-B,WSPRU-TA10-11-B,WSPRU-A-11-B,WSPRU-B-13-A,WSPRU-F-2-B,WSPRU-F-9-A,WSPRU-F-9-B,WSPRU-F-10-B,WSPRU-F-10-A,WSPRU-H-7-B,WSPRU-H-8-B,WSPRU-TA6-16-B,WSPRU-TA8-13-B,WSPRU-TA9-13-A,WSPRU-TA9-14-B,WSPRU-TA10-11-A,WSPRU-TA6-13-B,WSPRU-TA6-17-B,WSPRU-TA8-9-B,WSPRU-TA8-12-B,WSPRU-TA9-9-A,WSPRU-TA9-10-A,WSPRU-TA9-14-A,WSPRU-B-12-B,WSPRU-F-12-B,WSPRU-H-7-A,WSPRU-TA6-16-A,WSPRU-TA9-8-B,WSPRU-TA9-10-B,WSPRU-TA9-11-B,WSPRU-TA10-14-A,WSPRU-A-3-A,WSPRU-A-3-B,WSPRU-A-8-A,WSPRU-F-8-A,WSPRU-F-8-B,WSPRU-F-11-B,WSPRU-TA6-17-A,WSPRU-TA8-10-A,WSPRU-A-12-B,WSPRU-H-10-A,WSPRU-H-10-B,WSPRU-TA9-1-B,WSPRU-A-12-A,WSPRU-F-6-A,WSPRU-F-6-B,WSPRU-F-12-A,WSPRU-H-6-A,WSPRU-H-6-B,WSPRU-H-8-A,WSPRU-TA8-13-A,WSPRU-TA9-11-A,WSPRU-A-8-B,WSPRU-F-3-B,WSPRU-F-3-A,WSPRU-B-12-A,WSPRU-F-7-A,WSPRU-TA6-6-B,WSPRU-TA6-9-B,WSPRU-TA6-9-A,WSPRU-TA6-13-A,WSPRU-F-11-A,WSPRU-TA6-3-B,WSPRU-TA8-8-B,WSPRU-A-5-B,WSPRU-A-5-A,WSPRU-TA6-3-A,WSPRU-TA6-6-A,WSPRU-H-12-B,WSPRU-TA6-18-B,WSPRU-F-4-B,WSPRU-F-4-A,WSPRU-H-11-B,WSPRU-TA6-18-A,WSPRU-F-7-B,WSPRU-TA7-6-A,WSPRU-TA7-6-B,WSPRU-TA8-8-A,WSPRU-H-11-A,WSPRU-TA6-12-B,WSPRU-TA6-1-A,WSPRU-TA6-1-B,WSPRU-TA7-5-B,WSPRU-H-12-A,WSPRU-TA7-1-B,WSPRU-TA7-1-A,WSPRU-TA7-3-A,WSPRU-TA7-3-B,WSPRU-TA6-14-B,WSPRU-TA9-1-A,WSPRU-TA7-4-A,WSPRU-TA7-4-B,WSPRU-TA6-14-A,WSPRU-TA6-12-A,WSPRU-H-1-B,WSPRU-H-1-A
1930,0.866,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,0.973,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,0.61,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,0.471,0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,0.552,0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,0.842,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,0.702,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,0.73,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,0.597,0.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,0.204,1.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
