"","ASPEN-WW-12-A","ASPEN-WW-19-B","ASPEN-WW-12-B","ASPEN-WW-15-A","ASPEN-WW-17-B","ASPEN-WW-18-B","ASPEN-WW-20-B","ASPEN-WW-19-A","ASPEN-WW-10-A","ASPEN-WW-11-B","ASPEN-WW-17-A","ASPEN-WW-20-A","ASPEN-WW-13-B","ASPEN-WW-15-B","ASPEN-WW-16-A","ASPEN-WW-18-A","ASPEN-WW-10-B","ASPEN-WW-16-B","ASPEN-WW-13-A","ASPEN-WW-14-A","ASPEN-WW-11-A","ASPEN-WW-8-A","ASPEN-WW-8-B","ASPEN-VV-9-A","ASPEN-VV-9-B","ASPEN-VV-7-A","ASPEN-VV-7-B","ASPEN-WW-3-A","ASPEN-WW-3-B","ASPEN-WW-4-A","ASPEN-WW-4-B","ASPEN-WW-5-B","ASPEN-WW-6-A","ASPEN-WW-6-B","ASPEN-WW-7-A","ASPEN-WW-7-B","ASPEN-WW-9-A","ASPEN-WW-9-B","ASPEN-VV-8-A","ASPEN-WW-5-A","ASPEN-VV-10-A","ASPEN-VV-10-B","ASPEN-WW-2-A","ASPEN-WW-2-B","ASPEN-VV-8-B","ASPEN-VV-19-B","ASPEN-VV-6-A","ASPEN-VV-6-B","ASPEN-WW-1-A","ASPEN-WW-1-B","ASPEN-TT-1-A","ASPEN-TT-1-B","ASPEN-TT-2-A","ASPEN-TT-2-B","ASPEN-TT-3-A","ASPEN-TT-3-B","ASPEN-TT-4-A","ASPEN-TT-4-B","ASPEN-TT-5-A","ASPEN-TT-5-B","ASPEN-TT-6-A","ASPEN-TT-6-B","ASPEN-TT-7-A","ASPEN-TT-7-B","ASPEN-TT-8-A","ASPEN-TT-8-B","ASPEN-TT-10-A","ASPEN-TT-10-B","ASPEN-VV-16-A","ASPEN-VV-18-A","ASPEN-VV-18-B","ASPEN-VV-20-A","ASPEN-VV-20-B","ASPEN-TT-14-A","ASPEN-TT-15-A","ASPEN-VV-12-A","ASPEN-VV-12-B","ASPEN-VV-16-B","ASPEN-VV-17-A","ASPEN-VV-19-A","ASPEN-TT-12-B","ASPEN-TT-15-B","ASPEN-TT-13-B","ASPEN-TT-14-B","ASPEN-TT-18-A","ASPEN-TT-20-B","ASPEN-VV-4-A","ASPEN-VV-4-B","ASPEN-VV-14-A","ASPEN-VV-14-B","ASPEN-VV-17-B","ASPEN-TT-11-A","ASPEN-TT-12-A","ASPEN-TT-16-B","ASPEN-TT-17-A","ASPEN-TT-19-A","ASPEN-TT-20-A","ASPEN-VV-1-A","ASPEN-VV-1-B","ASPEN-VV-2-A","ASPEN-VV-2-B","ASPEN-VV-3-A","ASPEN-VV-3-B","ASPEN-TT-11-B","ASPEN-TT-17-B","ASPEN-VV-11-A","ASPEN-VV-11-B","ASPEN-VV-13-A","ASPEN-VV-13-B","ASPEN-VV-15-A","ASPEN-VV-15-B","ASPEN-TT-13-A","ASPEN-TT-16-A","ASPEN-TT-18-B","ASPEN-TT-19-B","ASPEN-UU-4-A","ASPEN-UU-4-B","ASPEN-UU-5-A","ASPEN-UU-5-B","ASPEN-UU-8-B","ASPEN-UU-9-A","ASPEN-UU-9-B","ASPEN-VV-5-A","ASPEN-VV-5-B","ASPEN-UU-1-A","ASPEN-UU-1-B","ASPEN-UU-2-A","ASPEN-UU-2-B","ASPEN-UU-10-A","ASPEN-UU-10-B","ASPEN-UU-6-A","ASPEN-UU-6-B","ASPEN-UU-13-A","ASPEN-UU-14-B","ASPEN-UU-11-B","ASPEN-UU-20-B","ASPEN-UU-12-A","ASPEN-UU-13-B","ASPEN-UU-14-A","ASPEN-UU-19-A","ASPEN-UU-19-B","ASPEN-UU-17-A","ASPEN-UU-17-B","ASPEN-UU-18-A","ASPEN-UU-18-B","ASPEN-UU-12-B","ASPEN-UU-16-A"
"1912",2.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1913",2.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1914",2.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1915",1.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1916",2.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1917",1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1918",1.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1919",1.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1920",1.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1921",2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
