,WSPRU-WW-10-B,WSPRU-WW-10-A,WSPRU-WW-9-B,WSPRU-WW-9-A,WSPRU-WW-7-B,WSPRU-WW-7-A,WSPRU-WW-4-B,WSPRU-WW-4-A,WSPRU-WW-6-A,WSPRU-WW-6-B,WSPRU-WW-8-A,WSPRU-WW-8-B,WSPRU-WW-3-A,WSPRU-WW-3-B,WSPRU-WW-5-A,WSPRU-WW-5-B,WSPRU-TT-3-A,WSPRU-TT-3-B,WSPRU-TT-7-B,WSPRU-TT-7-A,WSPRU-TT-8-A,WSPRU-TT-8-B,WSPRU-WW-2-B,WSPRU-WW-2-A,WSPRU-TT-6-B,WSPRU-TT-6-A,WSPRU-TT-4-A,WSPRU-TT-4-B,WSPRU-TT-5-B,WSPRU-TT-5-A,WSPRU-VV-10-A,WSPRU-TT-1-A,WSPRU-TT-1-B,WSPRU-TT-9-A,WSPRU-TT-9-B,WSPRU-TT-10-A,WSPRU-TT-10-B,WSPRU-UU-9-B,WSPRU-UU-9-A,WSPRU-VV-4-B,WSPRU-VV-5-B,WSPRU-VV-5-A,WSPRU-WW-1-A,WSPRU-WW-1-B,WSPRU-UU-3-B,WSPRU-UU-3-A,WSPRU-VV-3-A,WSPRU-VV-3-B,WSPRU-UU-6-B,WSPRU-TT-2-B,WSPRU-TT-2-A,WSPRU-UU-2-A,WSPRU-UU-6-A,WSPRU-UU-7-A,WSPRU-UU-7-B,WSPRU-UU-10-A,WSPRU-UU-10-B,WSPRU-VV-4-A,WSPRU-UU-1-A,WSPRU-UU-1-B,WSPRU-UU-2-B,WSPRU-UU-4-B,WSPRU-UU-4-A,WSPRU-UU-5-B,WSPRU-UU-5-A,WSPRU-UU-8-B,WSPRU-UU-8-A,WSPRU-VV-1-B,WSPRU-VV-1-A,WSPRU-VV-6-B,WSPRU-VV-6-A,WSPRU-VV-7-B,WSPRU-VV-7-A,WSPRU-VV-9-A,WSPRU-VV-9-B,WSPRU-VV-8-A,WSPRU-VV-8-B,WSPRU-VV-10-B,WSPRU-VV-2-A,WSPRU-VV-2-B
1967,0.78,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,0.395,0.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,0.866,0.902,0.538,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,0.848,0.86,0.463,0.427,0.45,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,1.248,0.908,0.489,0.789,0.463,0.266,0.479,0.455,0.519,0.563,0.425,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,1.318,0.893,0.51,0.568,0.604,0.344,0.388,0.383,0.405,0.275,0.357,0.261,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,1.022,1.049,0.575,0.596,0.871,0.629,0.501,0.588,0.511,0.554,0.667,0.764,0.477,0.449,0.916,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,1.166,1.198,0.663,0.779,1.034,0.718,0.783,0.661,0.492,0.594,0.765,0.526,0.486,0.362,0.925,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,1.819,1.668,0.911,1.043,1.183,0.782,0.77,0.699,0.69,0.717,0.857,0.774,0.393,0.526,1.158,1.252,0.184,0.169,0.349,0.345,0.599,0.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,2.084,2.154,0.888,0.91,1.245,1.098,0.806,0.683,0.78,0.901,0.989,0.898,0.525,0.577,1.47,1.66,0.122,0.214,0.301,0.261,0.499,0.46,0.884,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
