Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1910,D,1.15313637932841,0.759059706143799,0.00641574834876209,1,1.215020405527422,16,2,2,D,C.D,D,0.32049781850093995,D,H,FALSE
1910,H,1.47363419782935,0.240940293856201,0.00641574834876209,1,1.215020405527422,16,2,2,H,C.H,H,NA,H,H,TRUE
1911,H,0.914309721097234,1,0.0221323883009685,2,0.8945272507126203,16,1,1,H,C.H,H,NA,H,H,TRUE
1912,H,1.03666337054349,1,0.0215764773380894,3,1.0348789231352633,16,1,1,H,C.H,H,NA,H,H,TRUE
1913,H,1.36465324077502,1,0.0205942167163044,4,1.3662542842542025,16,1,1,H,C.H,H,NA,H,H,TRUE
1914,H,1.06385023076113,1,0.0435020353561261,5,1.0685213306522376,16,1,1,H,C.H,H,NA,H,H,TRUE
1915,H,1.46531167565802,1,0.0539915584193737,6,1.4781952133232938,16,1,1,H,C.H,H,NA,H,H,TRUE
1916,D,0.630072113557611,0.375206057590524,0.00277403942426134,7,0.8723172424659352,16,3,3,D,C.D,D,0.2489800233121291,D,D,TRUE
1916,H,0.87905213686974,0.312191557376288,0.00277403942426134,7,0.8723172424659352,16,3,3,H,C.H,H,0.28789796221835007,H,D,FALSE
1916,R,1.16695009908809,0.312602385033189,0.00277403942426134,7,0.8723172424659352,16,3,3,R,C.R,R,NA,R,H,FALSE
1917,H,0.975590468871112,1,0.0526968254344687,8,1.013634744300906,16,1,1,H,C.H,H,NA,H,H,TRUE
1918,H,0.565085086202267,1,0.0215702661692,9,0.5514142966289273,16,1,1,H,C.H,H,NA,H,H,TRUE
1919,H,0.125957791810538,1,0.00284021215886015,10,0.11682333780603885,16,1,1,H,C.H,H,NA,H,H,TRUE
1920,D,0.40924026277562,0.727764363612088,0.0101380265237107,11,0.4959817242325716,16,2,2,D,C.D,D,0.438730253203524,D,D,TRUE
1920,H,0.847970515979144,0.272235636387912,0.0101380265237107,11,0.4959817242325716,16,2,2,H,C.H,H,NA,H,D,FALSE
1921,H,1.13659905453531,1,0.0645780583333491,12,1.0932460886810222,16,1,1,H,C.H,H,NA,H,H,TRUE
1922,H,1.25378034539004,1,0.0758116930608336,13,1.2589630398796543,16,1,1,H,C.H,H,NA,H,H,TRUE
1923,H,1.13226623530187,1,0.113999039039043,14,1.1633178965993047,16,1,1,H,C.H,H,NA,H,H,TRUE
1924,D,0.81225009930638,0.825594621124479,0.00749947887243104,15,0.8442497729452073,16,2,2,D,C.D,D,0.38752701708827,D,H,FALSE
1924,H,1.19977711639465,0.174405378875521,0.00749947887243104,15,0.8442497729452073,16,2,2,H,C.H,H,NA,H,H,TRUE
1925,H,0.933315089733875,1,0.0172898198172303,16,0.9319714644218371,16,1,1,H,C.H,H,NA,H,H,TRUE
1926,H,0.891712202600584,1,0.0733912270887699,17,0.8960775594236273,16,1,1,H,C.H,H,NA,H,H,TRUE
1927,H,0.649942833518275,1,0.0222171909897576,18,0.6449746631126082,16,1,1,H,C.H,H,NA,H,H,TRUE
1928,H,0.565798386059088,1,0.0119712164052433,19,0.5665069572093301,16,1,1,H,C.H,H,NA,H,H,TRUE
1929,H,0.665754973542177,1,0.0543821794154786,20,0.6629943329008346,16,1,1,H,C.H,H,NA,H,H,TRUE
1930,H,0.882183995428672,1,0.0724849610937972,21,0.8715694596934069,16,1,1,H,C.H,H,NA,H,H,TRUE
1931,H,0.738990252415152,1,0.055064721110192,22,0.721474914389674,16,1,1,H,C.H,H,NA,H,H,TRUE
1932,H,0.99146034269992,1,0.0699278440541955,23,0.9838160622710095,16,1,1,H,C.H,H,NA,H,H,TRUE
1933,H,0.706060510356614,1,0.00587854884550166,24,0.7040799452740203,16,1,1,H,C.H,H,NA,H,H,TRUE
1934,H,0.658736670306175,1,0.0273218736880093,25,0.658804514268601,16,1,1,H,C.H,H,NA,H,H,TRUE
1935,H,0.925703650202386,1,0.0620688367453852,26,0.9256865834786929,16,1,1,H,C.H,H,NA,H,H,TRUE
1936,H,1.06435932249069,1,0.0708497170603977,27,1.0753719912845265,16,1,1,H,C.H,H,NA,H,H,TRUE
1937,H,1.25305171686217,1,0.0480025773823591,28,1.2485556080174727,16,1,1,H,C.H,H,NA,H,H,TRUE
1938,H,0.918944955772338,1,0.0325249885432563,29,0.8979680240556678,16,1,1,H,C.H,H,NA,H,H,TRUE
1939,H,0.931966257770044,1,0.0214677370007102,30,0.9212403362322414,16,1,1,H,C.H,H,NA,H,H,TRUE
1940,H,0.811230954914306,1,0.0923598044231816,31,0.7696497593763385,16,1,1,H,C.H,H,NA,H,H,TRUE
1941,H,1.00242800044665,1,0.121410149764035,32,0.9974791677002534,16,1,1,H,C.H,H,NA,H,H,TRUE
1942,H,0.766085866751677,1,0.0735591891263888,33,0.7594494319192668,16,1,1,H,C.H,H,NA,H,H,TRUE
1943,D,0.591835692607577,0.872565105405204,0.0129465127281676,34,0.6063047106442462,16,2,2,D,C.D,D,0.517056385976693,D,H,FALSE
1943,H,1.10889207858427,0.127434894594796,0.0129465127281676,34,0.6063047106442462,16,2,2,H,C.H,H,NA,H,H,TRUE
1944,H,0.539875904402041,1,0.0442286469349137,35,0.5344508976021177,16,1,1,H,C.H,H,NA,H,H,TRUE
1945,H,0.390560105647786,1,0.0548527466659406,36,0.3752488503692196,17,1,1,H,C.H,H,NA,H,H,TRUE
1946,H,0.496326681718742,1,0.06610629356085,37,0.4983327963416471,17,1,1,H,C.H,H,NA,H,H,TRUE
1947,H,0.488047531218311,1,0.0634629953947588,38,0.46761411397096586,18,1,1,H,C.H,H,NA,H,H,TRUE
1948,D,0.377061951369913,0.557563086917234,0.0488274678063066,39,0.6777730529846878,25,2,2,D,C.D,D,0.692325739704057,D,D,TRUE
1948,H,1.06938769107397,0.442436913082766,0.0488274678063066,39,0.6777730529846878,25,2,2,H,C.H,H,NA,H,H,TRUE
1949,H,0.915613981721639,1,0.0607841989502689,40,0.9145082229364385,38,1,1,H,C.H,H,NA,H,H,TRUE
