Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1940,H,0.811230955,1,0.092359804,31,0.769649759,16,1,1,H,C.H,H,NA,H,H,TRUE
1941,H,1.002428,1,0.12141015,32,0.997479168,16,1,1,H,C.H,H,NA,H,H,TRUE
1942,H,0.766085867,1,0.073559189,33,0.759449432,16,1,1,H,C.H,H,NA,H,H,TRUE
1943,H,0.591835693,0.872565105,0.012946513,34,0.606304711,16,2,2,D,C.D,D,0.517056386,D,H,FALSE
1943,R,1.108892079,0.127434895,0.012946513,34,0.606304711,16,2,2,H,C.H,H,NA,H,H,TRUE
1944,H,0.539875904,1,0.044228647,35,0.534450898,16,1,1,H,C.H,H,NA,H,H,TRUE
1945,H,0.390560106,1,0.054852747,36,0.37524885,17,1,1,H,C.H,H,NA,H,H,TRUE
1946,H,0.496326682,1,0.066106294,37,0.498332796,17,1,1,H,C.H,H,NA,H,H,TRUE
1947,H,0.488047531,1,0.063462995,38,0.467614114,18,1,1,H,C.H,H,NA,H,H,TRUE
1948,D,0.377061951,0.557563087,0.048827468,39,0.677773053,25,2,2,D,C.D,D,0.69232574,D,D,TRUE
1948,H,1.069387691,0.442436913,0.048827468,39,0.677773053,25,2,2,H,C.H,H,NA,H,H,TRUE
1949,H,0.915613982,1,0.060784199,40,0.914508223,38,1,1,H,C.H,H,NA,H,H,TRUE
1950,H,0.950185851,0.873629399,0.053521568,41,0.998945519,53,2,2,D,C.D,D,0.837415753,D,H,FALSE
1950,R,1.787601604,0.126370601,0.053521568,41,0.998945519,53,2,2,H,C.H,H,NA,H,H,TRUE
1951,H,0.999149766,0.939767819,0.104340539,42,1.017612743,71,2,2,D,C.D,D,1.376522154,D,H,FALSE
1951,R,2.375671921,0.060232181,0.104340539,42,1.017612743,71,2,2,H,C.H,H,NA,H,H,TRUE
1952,H,1.101529071,1,0.108491635,43,1.091406348,84,1,1,H,C.H,H,NA,H,H,TRUE
1953,H,1.120063477,0.930883501,0.095493469,44,1.164940253,96,2,2,D,C.D,D,1.004416852,D,H,FALSE
1953,R,2.12448033,0.069116499,0.095493469,44,1.164940253,96,2,2,H,C.H,H,NA,H,H,TRUE
1954,D,0.988381809,0.575134347,0.053521568,45,1.020246588,105,2,2,D,C.D,D,0.120040695,D,H,FALSE
1954,H,1.108422504,0.424865653,0.053521568,45,1.020246588,105,2,2,H,C.H,H,NA,H,H,TRUE
1955,H,1.021734825,0.99021514,0.131777238,46,1.002074669,112,2,2,D,C.D,D,1.865078537,D,H,FALSE
1955,R,2.886813362,0.00978486,0.131777238,46,1.002074669,112,2,2,H,C.H,H,NA,H,R,FALSE
1956,D,0.40310102,0.072735037,0.01991067,47,1.092569575,116,3,3,D,C.D,D,0.626896243,D,D,TRUE
1956,H,1.029997263,0.711476742,0.01991067,47,1.092569575,116,3,3,H,C.H,H,0.515931278,H,H,TRUE
1956,R,1.54592854,0.215788221,0.01991067,47,1.092569575,116,3,3,R,C.R,R,NA,R,H,FALSE
1957,H,0.945144083,0.866192117,0.062843172,48,1.018457278,117,2,2,D,C.D,D,0.757000575,D,H,FALSE
1957,R,1.702144658,0.133807883,0.062843172,48,1.018457278,117,2,2,H,C.H,H,NA,H,H,TRUE
1958,D,0.85095359,0.975943376,0.086340202,49,0.866590143,120,2,2,D,C.D,D,1.099683029,D,H,FALSE
1958,H,1.950636619,0.024056624,0.086340202,49,0.866590143,120,2,2,H,C.H,H,NA,H,H,TRUE
1959,D,0.962008541,1,0.102462363,50,0.952729891,121,1,1,H,C.H,H,NA,H,H,TRUE
1960,D,1.066357772,1,0.115280848,51,1.068104908,123,1,1,H,C.H,H,NA,H,H,TRUE
1961,D,1.204782091,0.91325732,0.08755541,52,1.239635584,123,2,2,D,C.D,D,1.033077776,D,H,FALSE
1961,H,2.237859867,0.08674268,0.08755541,52,1.239635584,123,2,2,H,C.H,H,NA,H,H,TRUE
1962,D,1.114977091,0.991786524,0.16144644,53,1.093097999,124,2,2,D,C.D,D,2.583537782,D,H,FALSE
1962,R,3.698514873,0.008213476,0.16144644,53,1.093097999,124,2,2,H,C.H,H,NA,H,R,FALSE
1963,D,0.91390871,0.975218761,0.133458312,54,0.93144655,124,2,2,D,C.D,D,1.360125692,D,H,FALSE
1963,H,2.274034402,0.024781239,0.133458312,54,0.93144655,124,2,2,H,C.H,H,NA,H,H,TRUE
1964,D,0.241806977,0.199213484,0.044705627,55,1.162323988,125,3,3,D,C.D,D,1.047868557,D,D,TRUE
