Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1957,H,0.959855702428327,0.94354554235319,0.0786401831870765,1,0.9786849241085186,18,2,2,D,C.D,D,1.378554696343113,D,H,FALSE
1957,R,2.33841039877144,0.0564544576468096,0.0786401831870765,1,0.9786849241085186,18,2,2,H,C.H,H,NA,H,R,FALSE
1958,H,1.00847534078052,1,0.137417773745411,2,0.9976688774477169,22,1,1,H,C.H,H,NA,H,H,TRUE
1959,H,0.96883572241194,1,0.139252241648882,3,0.9379896535802063,22,1,1,H,C.H,H,NA,H,H,TRUE
1960,D,0.966115127976928,0.559874293593909,0.235700815561033,4,0.9919109035560648,23,2,2,D,C.D,D,0.13526390022734192,D,H,FALSE
1960,H,1.10137902820427,0.440125706406091,0.235700815561033,4,0.9919109035560648,23,2,2,H,C.H,H,NA,H,H,TRUE
1961,H,0.944685275410914,1,0.0428056790820611,5,0.933652835821869,25,1,1,H,C.H,H,NA,H,H,TRUE
1962,H,0.764557835291814,0.836075101595671,0.0194977102462153,6,0.8282268249169422,25,2,2,D,C.D,D,0.6026055677154359,D,H,FALSE
1962,R,1.36716340300725,0.163924898404329,0.0194977102462153,6,0.8282268249169422,25,2,2,H,C.H,H,NA,H,R,FALSE
1963,H,0.819676687574227,0.879276314619651,0.0271219884244924,7,0.8649621918851303,25,2,2,D,C.D,D,0.8487184569237831,D,H,FALSE
1963,R,1.66839514449801,0.120723685380349,0.0271219884244924,7,0.8649621918851303,25,2,2,H,C.H,H,NA,H,R,FALSE
1964,D,0.793604576983803,0.648706407497956,0.0555117565264156,8,1.0507360168451385,25,2,2,D,C.D,D,0.769266906958867,D,D,TRUE
1964,H,1.56287148394267,0.351293592502044,0.0555117565264156,8,1.0507360168451385,25,2,2,H,C.H,H,NA,H,H,TRUE
1965,H,1.14126702830058,1,0.149891730911741,9,1.1392734067563843,27,1,1,H,C.H,H,NA,H,H,TRUE
1966,H,1.11339569071312,1,0.0954949513436096,10,1.139272263061668,32,1,1,H,C.H,H,NA,H,H,TRUE
1967,H,0.972296632018406,1,0.132393178768561,11,0.9650247377851251,36,1,1,H,C.H,H,NA,H,H,TRUE
1968,H,0.85716003480104,1,0.133904456624148,12,0.8398815462807561,40,1,1,H,C.H,H,NA,H,H,TRUE
1969,H,0.911570726852843,0.945890529572739,0.102641245697848,13,0.9287148604289888,43,2,2,D,C.D,D,1.322241197023847,D,H,FALSE
1969,R,2.23381192387669,0.0541094704272618,0.102641245697848,13,0.9287148604289888,43,2,2,H,C.H,H,NA,H,R,FALSE
1970,H,0.936216311052267,1,0.169020981812295,14,0.9171962855192584,44,1,1,H,C.H,H,NA,H,H,TRUE
1971,D,0.371747686886495,0.203922409404405,0.0174388114553998,15,0.9225815819239971,48,3,3,D,C.D,D,0.6046204568361411,D,D,TRUE
1971,H,0.976368143722636,0.700250568239001,0.0174388114553998,15,0.9225815819239971,48,3,3,H,C.H,H,0.549493783070334,H,H,TRUE
1971,R,1.52586192679297,0.0958270223565948,0.0174388114553998,15,0.9225815819239971,48,3,3,R,C.R,R,NA,R,R,TRUE
1972,H,0.993797446927298,1,0.178516840954308,16,0.9891418324830875,49,1,1,H,C.H,H,NA,H,H,TRUE
1973,H,0.84593558278286,1,0.191894685254386,17,0.840135899121623,49,1,1,H,C.H,H,NA,H,H,TRUE
1974,H,0.908852012794872,1,0.166374004754579,18,0.9000841048538926,55,1,1,H,C.H,H,NA,H,H,TRUE
1975,H,0.94830067164058,1,0.179124842230477,19,0.9510733318289184,59,1,1,H,C.H,H,NA,H,H,TRUE
1976,H,0.981618684670989,0.960205226186529,0.206236596214985,20,1.0027699373716348,67,2,2,D,C.D,D,1.8715095308492011,D,H,FALSE
1976,R,2.85312821552019,0.0397947738134706,0.206236596214985,20,1.0027699373716348,67,2,2,H,C.H,H,NA,H,R,FALSE
1977,H,1.05759851624994,0.911703419664972,0.173424314899039,21,1.1069212569702571,72,2,2,D,C.D,D,1.37340335698028,D,H,FALSE
1977,R,2.43100187323022,0.0882965803350277,0.173424314899039,21,1.1069212569702571,72,2,2,H,C.H,H,NA,H,R,FALSE
1978,H,0.944371702803559,1,0.198360799952812,22,0.9263856723460232,78,1,1,H,C.H,H,NA,H,H,TRUE
1979,D,0.468456228917322,0.234116566581689,0.102120398109176,23,1.0322454115318511,82,2,2,D,C.D,D,0.7291103004003181,D,D,TRUE
1979,H,1.19756652931764,0.765883433418311,0.102120398109176,23,1.0322454115318511,82,2,2,H,C.H,H,NA,H,H,TRUE
1980,D,0.194930692752966,0.121414156536694,0.00401941753440221,24,0.9112707067282848,85,3,3,D,C.D,D,0.7364075076998959,D,D,TRUE
1980,H,0.931338200452862,0.783105478445272,0.057414920192859,24,0.9112707067282848,85,3,3,H,C.H,H,0.942389339031788,H,H,TRUE
1980,R,1.87372753948465,0.0954803650180341,0.0761187785854605,24,0.9112707067282848,85,3,3,R,C.R,R,NA,R,H,FALSE
1981,H,0.908755101908417,1,0.241079813757733,25,0.9025489232259564,85,1,1,H,C.H,H,NA,H,H,TRUE
1982,D,0.70455995783,0.840251352570066,0.104267670549123,26,0.8162971075164996,89,2,2,D,C.D,D,1.0922852241488,D,H,FALSE
1982,H,1.7968451819788,0.159748647429933,0.104267670549123,26,0.8162971075164996,89,2,2,H,C.H,H,NA,H,H,TRUE
1983,H,1.00180755951686,1,0.23185414840801,27,0.9958322421568432,89,1,1,H,C.H,H,NA,H,H,TRUE
1984,D,0.417082746428608,0.182433454969768,0.136106315609691,28,1.1851904249740834,89,2,2,D,C.D,D,0.919818408726562,D,D,TRUE
1984,H,1.33690115515517,0.817566545030232,0.136106315609691,28,1.1851904249740834,89,2,2,H,C.H,H,NA,H,H,TRUE
1985,H,1.0592371787962,1,0.285048206265366,29,1.0369475949989937,89,1,1,H,C.H,H,NA,H,H,TRUE
1986,H,1.00751379734083,1,0.188743709604064,30,1.0178455240951148,90,1,1,H,C.H,H,NA,H,H,TRUE
1987,D,0.939328570169883,0.806841137949604,0.130374772674638,31,1.0810238848293676,90,2,2,D,C.D,D,0.942000829677617,D,H,FALSE
1987,H,1.8813293998475,0.193158862050396,0.130374772674638,31,1.0810238848293676,90,2,2,H,C.H,H,NA,H,H,TRUE
1988,D,0.274526107644162,0.219010424341346,0.0354793857489193,32,1.0197915628571488,92,3,3,D,C.D,D,0.8532109041743878,D,D,TRUE
1988,H,1.12773701181855,0.74041354410917,0.0354793857489193,32,1.0197915628571488,92,3,3,H,C.H,H,0.8435239737840701,H,H,TRUE
1988,R,1.97126098560262,0.0405760315494839,0.0354793857489193,32,1.0197915628571488,92,3,3,R,C.R,R,NA,R,R,TRUE
1989,D,0.159984301701443,0.150696364614572,0.00758992912212822,33,1.0179675297180089,92,3,3,D,C.D,D,0.878387722803067,D,D,TRUE
1989,H,1.03837202450451,0.691129818184336,0.0456156012707151,33,1.0179675297180089,92,3,3,H,C.H,H,1.01571291484387,H,H,TRUE
1989,R,2.05408493934838,0.158173817201092,0.111071039765148,33,1.0179675297180089,92,3,3,R,C.R,R,NA,R,H,FALSE
1990,H,1.12092221568783,1,0.33077735732391,34,1.0820928531131773,92,1,1,H,C.H,H,NA,H,H,TRUE
1991,D,0.250672874093695,0.179185048880037,0.0520278188417961,35,1.0176697351395079,92,3,3,D,C.D,D,0.8170209191449451,D,D,TRUE
1991,H,1.06769379323864,0.711407856501079,0.0520278188417961,35,1.0176697351395079,92,3,3,H,C.H,H,0.88430880768851,H,H,TRUE
1991,R,1.95200260092715,0.109407094618883,0.0520278188417961,35,1.0176697351395079,92,3,3,R,C.R,R,NA,R,H,FALSE
1992,H,0.959013165501497,1,0.23243523081383,36,0.9484324438567758,92,1,1,H,C.H,H,NA,H,H,TRUE
1993,H,0.70121287766389,0.895763698429351,0.119475317849373,37,0.7824028655423558,92,2,2,D,C.D,D,1.0260111596409,D,H,FALSE
1993,R,1.72722403730479,0.104236301570649,0.119475317849373,37,0.7824028655423558,92,2,2,H,C.H,H,NA,H,R,FALSE
1994,D,0.48064376722306,0.384796786967551,0.137777575323903,38,0.9050178828134819,92,2,2,D,C.D,D,0.6854884366233099,D,D,TRUE
1994,H,1.16613220384637,0.615203213032449,0.137777575323903,38,0.9050178828134819,92,2,2,H,C.H,H,NA,H,H,TRUE
1995,D,0.742856033885517,0.870722671409366,0.105022921997292,39,0.8090059889969422,92,2,2,D,C.D,D,1.331885608580983,D,H,FALSE
1995,H,2.0747416424665,0.129277328590634,0.105022921997292,39,0.8090059889969422,92,2,2,H,C.H,H,NA,H,H,TRUE
1996,D,0.272776479814861,0.224466015618102,0.0298781668642016,40,0.8511280724601987,92,3,3,D,C.D,D,0.669753718665989,D,D,TRUE
1996,H,0.94253019848085,0.703856899998288,0.0298781668642016,40,0.8511280724601987,92,3,3,H,C.H,H,0.9233788400070101,H,H,TRUE
1996,R,1.86590903848786,0.0716770843836095,0.0298781668642016,40,0.8511280724601987,92,3,3,R,C.R,R,NA,R,R,TRUE
1997,H,0.975141209511333,0.923574150278653,0.169655002220292,41,1.029312527174162,92,2,2,D,C.D,D,1.2143445486369968,D,H,FALSE
1997,R,2.18948575814833,0.0764258497213477,0.169655002220292,41,1.029312527174162,92,2,2,H,C.H,H,NA,H,R,FALSE
1998,D,0.103800127527939,0.125331760127552,0.00409018090218877,42,0.9534170051742681,92,3,3,D,C.D,D,0.826750989970191,D,D,TRUE
1998,H,0.93055111749813,0.548201178895453,0.0379668315318479,42,0.9534170051742681,92,3,3,H,C.H,H,0.4051321023699799,H,D,FALSE
1998,R,1.33568321986811,0.326467060976995,0.250019181868097,42,0.9534170051742681,92,3,3,R,C.R,R,NA,R,H,FALSE
1999,D,0.108511519244857,0.174283544831396,0.00248990183032838,43,0.8113371427607228,92,3,3,D,C.D,D,0.755832736478022,D,D,TRUE
1999,H,0.864344255722879,0.328301277108833,0.00690177995783478,43,0.8113371427607228,92,3,3,H,C.H,H,0.19216521718565105,H,D,FALSE
1999,R,1.05650947290853,0.497415178059771,0.271089926641016,43,0.8113371427607228,92,3,3,R,C.R,R,NA,R,H,FALSE
2000,D,0.0935676959178124,0.157161190976151,0.00259925227619157,44,0.8253392930482453,91,3,3,D,C.D,D,0.7579472508911655,D,D,TRUE
2000,H,0.851514946808978,0.581568482878442,0.0209164039751231,44,0.8253392930482453,91,3,3,H,C.H,H,0.2949368787892621,H,D,FALSE
2000,R,1.14645182559824,0.261270326145408,0.228734124260307,44,0.8253392930482453,91,3,3,R,C.R,R,NA,R,R,TRUE
2001,D,0.885469386994426,0.426277997907139,0.225324473638571,45,1.078698062721283,91,2,2,D,C.D,D,0.3310956654826339,D,D,TRUE
2001,H,1.21656505247706,0.573722002092861,0.225324473638571,45,1.078698062721283,91,2,2,H,C.H,H,NA,H,H,TRUE
2002,D,0.194106030338907,0.167550850573807,0.0905078287862481,46,0.9942182587286877,91,2,2,D,C.D,D,0.9246474961238229,D,D,TRUE
2002,H,1.11875352646273,0.832449149426193,0.0905078287862481,46,0.9942182587286877,91,2,2,H,C.H,H,NA,H,H,TRUE
2003,D,0.278282905006826,0.0893028066570554,0.0792687446446219,47,1.2202205560155834,90,2,2,D,C.D,D,0.9867067501457039,D,D,TRUE
2003,H,1.26498965515253,0.910697193342945,0.0792687446446219,47,1.2202205560155834,90,2,2,H,C.H,H,NA,H,H,TRUE
2004,H,1.08501037656321,1,0.220909319014985,48,1.0791473356397705,90,1,1,H,C.H,H,NA,H,H,TRUE
2005,D,0.215110848480595,0.0443969382938614,0.0439953448811458,49,1.0377395853685694,90,2,2,D,C.D,D,0.843631905042225,D,D,TRUE
2005,H,1.05874275352282,0.955603061706138,0.0439953448811458,49,1.0377395853685694,90,2,2,H,C.H,H,NA,H,H,TRUE
2006,D,0.139001620983417,0.0537052236886613,0.0101214961261385,50,1.070124756706722,89,3,3,D,C.D,D,0.8972582012795329,D,D,TRUE
2006,H,1.03625982226295,0.83420853238929,0.0389822154425456,50,1.070124756706722,89,3,3,H,C.H,H,0.62642278963514,H,H,TRUE
2006,R,1.66268261189809,0.112086243922048,0.0038811273942051,50,1.070124756706722,89,3,3,R,C.R,R,NA,R,R,TRUE
2007,D,0.203294891056767,0.0422607481587598,0.0659280117129641,51,1.0687709794101148,89,2,2,D,C.D,D,0.8877205021977029,D,D,TRUE
2007,H,1.09101539325447,0.95773925184124,0.0659280117129641,51,1.0687709794101148,89,2,2,H,C.H,H,NA,H,H,TRUE
2008,D,1.18881105537355,0.508283283302603,1.02667267748181,52,1.1204020064295408,89,2,2,D,C.D,D,0.10120898482938001,D,H,FALSE
2008,H,1.29002004020293,0.491716716697397,1.02667267748181,52,1.1204020064295408,89,2,2,H,C.H,H,NA,H,H,TRUE
2009,H,1.10349331935271,0.5,0.0957477863473705,53,1.0943566777511478,86,2,2,H,C.H,H,NA,H,H,TRUE
2009,H,1.10349331935271,0.5,0.0957477863473705,53,1.0943566777511478,86,2,2,D,C.D,D,0.05176949368534012,H,H,TRUE
2010,D,0.727993864552622,0.521760684860967,2.18572083553435,54,0.5861969855593907,74,2,2,D,C.D,D,0.1799269927453,D,D,TRUE
2010,H,0.907920857297922,0.478239315139033,2.18572083553435,54,0.5861969855593907,74,2,2,H,C.H,H,NA,H,D,FALSE
