Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1965,H,1.0764338527694,1,0.0828695845622358,1,1.0673318172935085,17,1,1,H,C.H,H,NA,H,H,TRUE
1966,D,0.959574371894724,0.348064707727566,0.0217440265558768,2,1.2232768471735744,18,2,2,D,C.D,D,0.39981737135276596,D,H,FALSE
1966,H,1.35939174324749,0.651935292272434,0.0217440265558768,2,1.2232768471735744,18,2,2,H,C.H,H,NA,H,H,TRUE
1967,H,0.887077991814413,1,0.0823421250519088,3,0.8970073298934932,21,1,1,H,C.H,H,NA,H,H,TRUE
1968,H,0.774944730310241,1,0.108547139128145,4,0.7535704672195503,24,1,1,H,C.H,H,NA,H,H,TRUE
1969,D,0.961212458394521,0.910567545363084,0.111714272016255,5,0.9907580773212327,26,2,2,D,C.D,D,1.2687255776068789,D,H,FALSE
1969,H,2.2299380360014,0.0894324546369158,0.111714272016255,5,0.9907580773212327,26,2,2,H,C.H,H,NA,H,H,TRUE
1970,D,0.73191130427674,0.962839776602196,0.0810246726536908,6,0.7313442796232453,27,2,2,D,C.D,D,1.4584808691792102,D,H,FALSE
1970,H,2.19039217345595,0.0371602233978038,0.0810246726536908,6,0.7313442796232453,27,2,2,H,C.H,H,NA,H,H,TRUE
1971,D,0.328345700198114,0.263851039090407,0.0123060071606721,7,0.8559881423996595,29,3,3,D,C.D,D,0.6107448657615611,D,D,TRUE
1971,H,0.939090565959675,0.629633028148657,0.0123060071606721,7,0.8559881423996595,29,3,3,H,C.H,H,0.646981081782385,H,H,TRUE
1971,R,1.58607164774206,0.106515932760936,0.0123060071606721,7,0.8559881423996595,29,3,3,R,C.R,R,NA,R,H,FALSE
1972,H,1.08525616111659,1,0.164369180934594,8,1.072653723705975,30,1,1,H,C.H,H,NA,H,H,TRUE
1973,H,0.900782373385343,1,0.232637024441218,9,0.8933343403863454,30,1,1,H,C.H,H,NA,H,H,TRUE
1974,H,0.955769699332998,1,0.208724967265432,10,0.9620928150826152,32,1,1,H,C.H,H,NA,H,H,TRUE
1975,D,0.441792264569809,0.331610935323877,0.063150888808331,11,1.0472368758115758,35,2,2,D,C.D,D,0.877642328037371,D,D,TRUE
1975,H,1.31943459260718,0.668389064676123,0.063150888808331,11,1.0472368758115758,35,2,2,H,C.H,H,NA,H,H,TRUE
1976,H,1.07397038036779,0.971339123389762,0.328810928582503,12,1.0998231156709328,39,2,2,D,C.D,D,2.5027186170928104,D,H,FALSE
1976,R,3.5766889974606,0.0286608766102377,0.328810928582503,12,1.0998231156709328,39,2,2,H,C.H,H,NA,H,R,FALSE
1977,H,1.27831756636335,1,0.492455705627198,13,1.2433769031021003,41,1,1,H,C.H,H,NA,H,H,TRUE
1978,D,0.763761241785488,0.803874964035127,0.200102198425699,14,0.9190234020759077,41,2,2,D,C.D,D,0.8638670156803621,D,D,TRUE
1978,H,1.62762825746585,0.196125035964873,0.200102198425699,14,0.9190234020759077,41,2,2,H,C.H,H,NA,H,H,TRUE
1979,D,0.512210049575877,0.524846395943577,0.103771845889926,15,0.921914584105871,41,2,2,D,C.D,D,0.868351911655993,D,D,TRUE
1979,H,1.38056196123187,0.475153604056423,0.103771845889926,15,0.921914584105871,41,2,2,H,C.H,H,NA,H,H,TRUE
1980,D,0.414128121233922,0.354464246770559,0.152109695226262,16,1.0277159583032196,42,2,2,D,C.D,D,0.940181633623248,D,D,TRUE
1980,H,1.35430975485717,0.645535753229441,0.152109695226262,16,1.0277159583032196,42,2,2,H,C.H,H,NA,H,H,TRUE
1981,D,0.469022803799832,0.642554702308629,0.121835543566147,17,0.8485012355593352,42,2,2,D,C.D,D,1.103900829502778,D,D,TRUE
1981,H,1.57292363330261,0.357445297691371,0.121835543566147,17,0.8485012355593352,42,2,2,H,C.H,H,NA,H,H,TRUE
1982,D,0.53011523501861,0.613657042021083,0.155902217768029,18,0.9578773034866533,42,2,2,D,C.D,D,1.13290748675046,D,D,TRUE
1982,H,1.66302272176907,0.386342957978917,0.155902217768029,18,0.9578773034866533,42,2,2,H,C.H,H,NA,H,H,TRUE
1983,D,0.147645452341553,0.216215940656085,0.00379333007924314,19,0.8986018901743789,42,3,3,D,C.D,D,0.643430773278047,D,D,TRUE
1983,H,0.7910762256196,0.198146511122602,0.00200679084992464,19,0.8986018901743789,42,3,3,H,C.H,H,0.44975877775948003,H,D,FALSE
1983,R,1.24083500337908,0.585637548221313,0.326989310072649,19,0.8986018901743789,42,3,3,R,C.R,R,NA,R,H,FALSE
1984,H,1.10684069114345,1,0.427835878023615,20,1.1075880847002182,42,1,1,H,C.H,H,NA,H,H,TRUE
1985,D,0.46460320277503,0.419489823532415,0.169811778400941,21,1.1127925246323294,42,2,2,D,C.D,D,1.11903589481505,D,D,TRUE
1985,H,1.58363909759008,0.580510176467585,0.169811778400941,21,1.1127925246323294,42,2,2,H,C.H,H,NA,H,H,TRUE
1986,H,0.926295627203683,1,0.32022558673532,22,0.9268283774815728,42,1,1,H,C.H,H,NA,H,H,TRUE
1987,D,0.445969823408163,0.305563427681185,0.18052149302562,23,1.2637108548727602,42,2,2,D,C.D,D,1.169971639059027,D,D,TRUE
1987,H,1.61594146246719,0.694436572318815,0.18052149302562,23,1.2637108548727602,42,2,2,H,C.H,H,NA,H,H,TRUE
1988,D,0.294980076368447,0.429312671472669,0.0914387822891011,24,0.8727805367792635,42,2,2,D,C.D,D,0.999800868392223,D,D,TRUE
1988,H,1.29478094476067,0.570687328527331,0.0914387822891011,24,0.8727805367792635,42,2,2,H,C.H,H,NA,H,H,TRUE
1989,D,0.379573841944256,0.440186187606525,0.212256474744541,25,1.11885699541736,42,2,2,D,C.D,D,1.322517298194474,D,D,TRUE
1989,H,1.70209114013873,0.559813812393474,0.212256474744541,25,1.11885699541736,42,2,2,H,C.H,H,NA,H,H,TRUE
1990,D,0.560641017731016,0.505476984603527,0.188642328363959,26,1.2128375509246752,42,2,2,D,C.D,D,1.335074240082494,D,D,TRUE
1990,H,1.89571525781351,0.494523015396473,0.188642328363959,26,1.2128375509246752,42,2,2,H,C.H,H,NA,H,H,TRUE
1991,D,0.391657636248699,0.493302593622552,0.12347172614034,27,1.0178153302268895,42,2,2,D,C.D,D,1.2454287602958811,D,D,TRUE
1991,H,1.63708639654458,0.506697406377448,0.12347172614034,27,1.0178153302268895,42,2,2,H,C.H,H,NA,H,H,TRUE
1992,D,0.508605185236365,0.544256881285834,0.110814751900394,28,1.0003615356700992,42,2,2,D,C.D,D,1.0893441160813548,D,D,TRUE
1992,H,1.59794930131772,0.455743118714166,0.110814751900394,28,1.0003615356700992,42,2,2,H,C.H,H,NA,H,H,TRUE
1993,D,0.491827908314725,0.711745167477579,0.128821322308229,29,0.8119715738018788,42,2,2,D,C.D,D,1.155388913239655,D,D,TRUE
1993,H,1.64721682155438,0.288254832522421,0.128821322308229,29,0.8119715738018788,42,2,2,H,C.H,H,NA,H,H,TRUE
1994,D,0.457413550112535,0.838451728957665,0.102126482886467,30,0.6071228669242378,42,2,2,D,C.D,D,1.264440261607125,D,D,TRUE
1994,H,1.72185381171966,0.161548271042335,0.102126482886467,30,0.6071228669242378,42,2,2,H,C.H,H,NA,H,H,TRUE
1995,D,0.57929997252027,0.664207000289858,0.178986702683903,31,0.9949131190961967,42,2,2,D,C.D,D,1.3192822223546399,D,D,TRUE
1995,H,1.89858219487491,0.335792999710142,0.178986702683903,31,0.9949131190961967,42,2,2,H,C.H,H,NA,H,H,TRUE
1996,D,0.246635728806264,0.428543260539106,0.0352639476278491,32,0.7083687278665213,42,3,3,D,C.D,D,0.6320581068152089,D,D,TRUE
1996,H,0.878693835621473,0.43089404899064,0.0352639476278491,32,0.7083687278665213,42,3,3,H,C.H,H,1.010410870470157,H,D,FALSE
1996,R,1.88910470609163,0.140562690470255,0.0352639476278491,32,0.7083687278665213,42,3,3,R,C.R,R,NA,R,H,FALSE
1997,H,1.08792430542147,1,0.514841419020174,33,1.0669747605446762,42,1,1,H,C.H,H,NA,H,H,TRUE
1998,D,0.306721360296875,0.398512574341143,0.15263173056426,34,0.9753737564984128,42,2,2,D,C.D,D,1.105669460536435,D,D,TRUE
1998,H,1.41239082083331,0.601487425658857,0.15263173056426,34,0.9753737564984128,42,2,2,H,C.H,H,NA,H,H,TRUE
1999,D,0.343354874269708,0.672159024719189,0.171523208611793,35,0.6700775516031623,42,2,2,D,C.D,D,1.127084654754122,D,D,TRUE
1999,H,1.47043952902383,0.327840975280811,0.171523208611793,35,0.6700775516031623,42,2,2,H,C.H,H,NA,H,H,TRUE
2000,D,0.333046271610892,0.580754394369246,0.109870177279858,36,0.6574294107332762,41,2,2,D,C.D,D,0.780936574667658,D,D,TRUE
2000,H,1.11398284627855,0.419245605630754,0.109870177279858,36,0.6574294107332762,41,2,2,H,C.H,H,NA,H,H,TRUE
2001,D,0.272262513745582,0.337812385492074,0.124599422176325,37,1.0749930565881711,41,2,2,D,C.D,D,1.189754242778988,D,D,TRUE
2001,H,1.46201675652457,0.662187614507926,0.124599422176325,37,1.0749930565881711,41,2,2,H,C.H,H,NA,H,H,TRUE
2002,D,0.149165578407071,0.335878004640353,0.0867159720400183,38,0.9211685138749328,41,2,2,D,C.D,D,1.1502855615023488,D,D,TRUE
2002,H,1.29945113990942,0.664121995359648,0.0867159720400183,38,0.9211685138749328,41,2,2,H,C.H,H,NA,H,H,TRUE
2003,D,0.292983550724063,0.178811800331343,0.106801896678113,39,1.26091346271848,40,2,2,D,C.D,D,1.113731602446987,D,D,TRUE
2003,H,1.40671515317105,0.821188199668658,0.106801896678113,39,1.26091346271848,40,2,2,H,C.H,H,NA,H,H,TRUE
2004,D,0.179778634359176,0.193461230138098,0.110604225574516,40,1.2970004016985834,40,2,2,D,C.D,D,1.329048893068864,D,D,TRUE
2004,H,1.50882752742804,0.806538769861902,0.110604225574516,40,1.2970004016985834,40,2,2,H,C.H,H,NA,H,H,TRUE
2005,H,1.02008033001135,1,0.112309524395189,41,1.043386007302651,40,1,1,H,C.H,H,NA,H,H,TRUE
2006,D,0.183363296395329,0.133108142060119,0.0839058146839592,42,1.0883495146310054,39,2,2,D,C.D,D,1.015222469296961,D,D,TRUE
2006,H,1.19858576569229,0.866891857939881,0.0839058146839592,42,1.0883495146310054,39,2,2,H,C.H,H,NA,H,H,TRUE
2007,H,0.879313152283319,1,0.136173436116066,43,0.865591402380191,39,1,1,H,C.H,H,NA,H,H,TRUE
2008,H,1.0967039067586901,0.487179487179487,0.091145833295843,44,1.0686479219909955,39,3,3,D,C.D,D,1.0014211682118912e-13,H,H,TRUE
2008,H,1.0967039067586901,0.487179487179487,0.091145833295843,44,1.0686479219909955,39,3,3,H,C.H,H,9.39211072931256,H,H,TRUE
2008,R,10.4888146360713,0.0256410256410256,0.091145833295843,44,1.0686479219909955,39,3,3,R,C.R,R,NA,R,R,TRUE
2009,D,1.01784233408562,0.576095798515451,0.191434576903911,45,1.0463306020880678,36,2,2,D,C.D,D,0.13795356230047995,D,H,FALSE
2009,H,1.1557958963861,0.423904201484549,0.191434576903911,45,1.0463306020880678,36,2,2,H,C.H,H,NA,H,H,TRUE
2010,D,1.27775085583911,0.529227026507487,4.63116490040603,46,0.9797966657267283,30,2,2,D,C.D,D,0.3964966829610801,D,H,FALSE
2010,H,1.67424753880019,0.470772973492513,4.63116490040603,46,0.9797966657267283,30,2,2,H,C.H,H,NA,H,H,TRUE
