Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1944,H,0.998863756898607,1,0.0202260005832907,1,0.9944686803148295,22,1,1,H,C.H,H,NA,H,H,TRUE
1945,H,0.867529555231251,1,0.0232877341887995,2,0.8729042846850951,25,1,1,H,C.H,H,NA,H,H,TRUE
1946,D,0.372778845569636,0.203914483207053,0.016031721515303,3,0.8357906734599908,29,2,2,D,C.D,D,0.519113818507366,D,D,TRUE
1946,H,0.891892664077002,0.796085516792947,0.016031721515303,3,0.8357906734599908,29,2,2,H,C.H,H,NA,H,H,TRUE
1947,H,0.850966048986818,1,0.0429959228063297,4,0.8515604415854842,32,1,1,H,C.H,H,NA,H,H,TRUE
1948,D,0.895020817546326,0.567987801970773,0.0435886499846962,5,0.9055855015124393,34,2,2,D,C.D,D,0.053461144097158964,D,D,TRUE
1948,H,0.948481961643485,0.432012198029227,0.0435886499846962,5,0.9055855015124393,34,2,2,H,C.H,H,NA,H,H,TRUE
1949,H,1.06746159447028,1,0.0672382556282332,6,1.073128022184121,37,1,1,H,C.H,H,NA,H,H,TRUE
1950,H,1.08849066295291,1,0.0585111824484192,7,1.1027485333427864,38,1,1,H,C.H,H,NA,H,H,TRUE
1951,H,1.01709677521936,1,0.0703265602617293,8,1.031613338961653,40,1,1,H,C.H,H,NA,H,H,TRUE
1952,H,1.02369823787185,1,0.043694226573092,9,1.0308141480223871,42,1,1,H,C.H,H,NA,H,H,TRUE
1953,H,0.933064824106867,1,0.0494214481279597,10,0.9394606528349094,47,1,1,H,C.H,H,NA,H,H,TRUE
1954,H,1.10444218405718,1,0.0528452867665321,11,1.1092943773571036,48,1,1,H,C.H,H,NA,H,H,TRUE
1955,H,1.06687240181294,1,0.0424082715760907,12,1.0664853666354548,49,1,1,H,C.H,H,NA,H,H,TRUE
1956,H,1.00006832418561,1,0.0528294027900116,13,1.0032272021345559,50,1,1,H,C.H,H,NA,H,H,TRUE
1957,H,1.05220969551174,1,0.0549445430481164,14,1.049531769521371,56,1,1,H,C.H,H,NA,H,H,TRUE
1958,H,1.14956214970136,1,0.0638747024195909,15,1.1363853423135102,57,1,1,H,C.H,H,NA,H,H,TRUE
1959,H,1.12130053106163,1,0.0605956075632356,16,1.1201547418895645,59,1,1,H,C.H,H,NA,H,H,TRUE
1960,H,1.14159879582165,1,0.0432012775384489,17,1.1316851102502516,61,1,1,H,C.H,H,NA,H,H,TRUE
1961,H,1.05977049931183,1,0.0665425995470611,18,1.0677287353246145,61,1,1,H,C.H,H,NA,H,H,TRUE
1962,D,1.0206191310888,0.82958053444915,0.0422759145262831,19,1.1021838320894295,61,2,2,D,C.D,D,0.70971169987104,D,H,FALSE
1962,H,1.73033083095984,0.17041946555085,0.0422759145262831,19,1.1021838320894295,61,2,2,H,C.H,H,NA,H,H,TRUE
1963,D,0.948704181597691,0.699525474984544,0.102444401060082,20,1.1930317564271609,61,2,2,D,C.D,D,0.8913894746101491,D,H,FALSE
1963,H,1.84009365620784,0.300474525015456,0.102444401060082,20,1.1930317564271609,61,2,2,H,C.H,H,NA,H,H,TRUE
1964,D,0.349917557024182,0.281661977986771,0.0431462258721055,21,0.875957242936287,63,2,2,D,C.D,D,0.709792101169378,D,D,TRUE
1964,H,1.0597096581935599,0.718338022013229,0.0431462258721055,21,0.875957242936287,63,2,2,H,C.H,H,NA,H,H,TRUE
1965,D,0.234947402543959,0.532752404702272,0.0402571941534185,22,0.7110844363063967,64,2,2,D,C.D,D,1.064560765425691,D,D,TRUE
1965,H,1.29950816796965,0.467247595297728,0.0402571941534185,22,0.7110844363063967,64,2,2,H,C.H,H,NA,H,H,TRUE
1966,D,0.536705127233052,0.319415640775573,0.0342680817447411,23,0.9236073447587448,64,2,2,D,C.D,D,0.549823971436798,D,D,TRUE
1966,H,1.08652909866985,0.680584359224427,0.0342680817447411,23,0.9236073447587448,64,2,2,H,C.H,H,NA,H,H,TRUE
1967,D,0.943011214849509,0.789226666125819,0.0546754718440412,24,1.0770281432574054,65,2,2,D,C.D,D,0.748239533244821,D,H,FALSE
1967,H,1.69125074809433,0.210773333874181,0.0546754718440412,24,1.0770281432574054,65,2,2,H,C.H,H,NA,H,H,TRUE
1968,D,0.832191655622935,0.670938710959206,0.033788015710618,25,1.0430744489134505,66,2,2,D,C.D,D,0.7236008745755251,D,D,TRUE
1968,H,1.55579253019846,0.329061289040795,0.033788015710618,25,1.0430744489134505,66,2,2,H,C.H,H,NA,H,H,TRUE
1969,D,0.63748451842389,0.672100046680291,0.0822282652947023,26,0.8720083014013229,66,2,2,D,C.D,D,1.00456595466533,D,D,TRUE
1969,H,1.64205047308922,0.327899953319709,0.0822282652947023,26,0.8720083014013229,66,2,2,H,C.H,H,NA,H,H,TRUE
1970,D,0.485621292460043,0.488237270346445,0.0222514591452105,27,0.7609706956228668,66,2,2,D,C.D,D,0.535886565553477,D,D,TRUE
1970,H,1.02150785801352,0.511762729653555,0.0222514591452105,27,0.7609706956228668,66,2,2,H,C.H,H,NA,H,H,TRUE
1971,D,0.129352168173811,0.0748185382175095,2.99953351204021e-4,28,0.6859418928636748,66,3,3,D,C.D,D,0.45589829406415094,D,D,TRUE
1971,H,0.585250462237962,0.637550831382287,0.0189905958706463,28,0.6859418928636748,66,3,3,H,C.H,H,0.5112102055861281,H,D,FALSE
1971,R,1.09646066782409,0.287630630400203,0.0172616646984909,28,0.6859418928636748,66,3,3,R,C.R,R,NA,R,H,FALSE
1972,D,0.422720723250217,0.497640154831245,0.0451287313951624,29,0.8121208500134343,66,2,2,D,C.D,D,0.7760746744375229,D,D,TRUE
1972,H,1.19879539768774,0.502359845168755,0.0451287313951624,29,0.8121208500134343,66,2,2,H,C.H,H,NA,H,H,TRUE
1973,D,0.323072827835955,0.529923304320029,0.0290180535709995,30,0.6773409297277325,66,2,2,D,C.D,D,0.7708883607421051,D,D,TRUE
1973,H,1.09396118857806,0.470076695679971,0.0290180535709995,30,0.6773409297277325,66,2,2,H,C.H,H,NA,H,H,TRUE
1974,D,0.23840608395675,0.515160665298096,0.0209716275367637,31,0.6861943628292884,66,2,2,D,C.D,D,0.9570143236744401,D,D,TRUE
1974,H,1.19542040763119,0.484839334701904,0.0209716275367637,31,0.6861943628292884,66,2,2,H,C.H,H,NA,H,H,TRUE
1975,D,0.38169429161792,0.399386953171122,0.0517332176045491,32,0.8322013350224937,66,2,2,D,C.D,D,0.73473815377964,D,D,TRUE
1975,H,1.11643244539756,0.600613046828878,0.0517332176045491,32,0.8322013350224937,66,2,2,H,C.H,H,NA,H,H,TRUE
1976,H,1.17946776541453,1,0.193532162786266,33,1.1763635860109145,66,1,1,H,C.H,H,NA,H,H,TRUE
1977,D,1.07118064188454,0.679996260839951,0.0575228911771107,34,1.3066879213838034,66,2,2,D,C.D,D,0.84281991619204,D,H,FALSE
1977,H,1.91400055807658,0.320003739160049,0.0575228911771107,34,1.3066879213838034,66,2,2,H,C.H,H,NA,H,H,TRUE
1978,H,1.40924968632541,1,0.339385777131291,35,1.3884030046185236,77,1,1,H,C.H,H,NA,H,H,TRUE
1979,D,0.740410613449576,0.763223074028742,0.113399395523944,36,0.9419628899805557,87,2,2,D,C.D,D,0.999024035284964,D,D,TRUE
1979,H,1.73943464873454,0.236776925971258,0.113399395523944,36,0.9419628899805557,87,2,2,H,C.H,H,NA,H,H,TRUE
1980,D,0.368709927983729,0.447360728383852,0.035812498320431,37,0.778807025236812,88,3,3,D,C.D,D,0.6824372308663911,D,D,TRUE
1980,H,1.05114715885012,0.513190170894709,0.035812498320431,37,0.778807025236812,88,3,3,H,C.H,H,0.88353656673517,H,H,TRUE
1980,R,1.93468372558529,0.0394491007214393,0.035812498320431,37,0.778807025236812,88,3,3,R,C.R,R,NA,R,H,FALSE
1981,H,0.767715111081103,1,0.0920776462146537,38,0.7690194871264863,89,1,1,H,C.H,H,NA,H,H,TRUE
1982,H,0.986504944560851,1,0.123654132156675,39,0.9840258288142223,91,1,1,H,C.H,H,NA,H,H,TRUE
1983,D,0.470198443006059,0.377441187907668,0.0493220682200032,40,0.9359792946754841,94,2,2,D,C.D,D,0.7286382399311009,D,D,TRUE
1983,H,1.19883668293716,0.622558812092332,0.0493220682200032,40,0.9359792946754841,94,2,2,H,C.H,H,NA,H,H,TRUE
1984,D,0.354011459028544,0.407381538794007,0.0204184929125534,41,0.7149985923859239,96,3,3,D,C.D,D,0.560831019763075,D,D,TRUE
1984,H,0.914842478791619,0.551296973881893,0.0204184929125534,41,0.7149985923859239,96,3,3,H,C.H,H,0.5468147967904011,H,D,FALSE
1984,R,1.46165727558202,0.0413214873241003,0.0204184929125534,41,0.7149985923859239,96,3,3,R,C.R,R,NA,R,H,FALSE
1985,H,0.988343816343663,1,0.170223172827307,42,0.9945502776947454,97,1,1,H,C.H,H,NA,H,H,TRUE
1986,H,1.23059307143381,1,0.105373459899494,43,1.2313045920889967,98,1,1,H,C.H,H,NA,H,H,TRUE
1987,D,1.0222843376475,0.766260926180617,0.0590748067914844,44,1.174348921328348,98,2,2,D,C.D,D,0.8748957795210401,D,H,FALSE
1987,H,1.89718011716854,0.233739073819383,0.0590748067914844,44,1.174348921328348,98,2,2,H,C.H,H,NA,H,H,TRUE
1988,H,0.970393879991347,1,0.0974475863012244,45,0.9731393232715061,98,1,1,H,C.H,H,NA,H,H,TRUE
1989,D,0.229519302154172,0.640453547693656,0.0180649834515039,46,0.4487161598972618,98,2,2,D,C.D,D,0.9431726189358081,D,D,TRUE
1989,H,1.17269192108998,0.359546452306344,0.0180649834515039,46,0.4487161598972618,98,2,2,H,C.H,H,NA,H,H,TRUE
1990,D,0.325802793544253,0.396137756067963,0.0320324377703262,47,0.665609548687942,98,2,2,D,C.D,D,0.556492599190736,D,D,TRUE
1990,H,0.882295392734989,0.603862243932038,0.0320324377703262,47,0.665609548687942,98,2,2,H,C.H,H,NA,H,D,FALSE
1991,H,0.83340074974938,1,0.123857658750076,48,0.8310370535958307,98,1,1,H,C.H,H,NA,H,H,TRUE
1992,H,0.788328978737588,1,0.108505117936031,49,0.7763631525727892,98,1,1,H,C.H,H,NA,H,H,TRUE
1993,H,1.06375208092982,1,0.0952914568737855,50,1.0540832503387187,98,1,1,H,C.H,H,NA,H,H,TRUE
1994,H,1.33645425419579,1,0.102809513060469,51,1.319364768834299,98,1,1,H,C.H,H,NA,H,H,TRUE
1995,D,0.975285783824173,0.736467437529064,0.0562522507464182,52,1.1216848392253882,98,2,2,D,C.D,D,0.6185182567647171,D,H,FALSE
1995,H,1.59380404058889,0.263532562470936,0.0562522507464182,52,1.1216848392253882,98,2,2,H,C.H,H,NA,H,H,TRUE
1996,H,0.975191227322695,1,0.169813534057605,53,0.9653495081717733,98,1,1,H,C.H,H,NA,H,H,TRUE
1997,D,1.0501527656537,0.648246442628858,0.050889329704017,54,1.2312269907482538,98,3,3,D,C.D,D,0.47284140329905,D,H,FALSE
1997,H,1.52299416895275,0.321057420229584,0.00680689948325565,54,1.2312269907482538,98,3,3,H,C.H,H,0.7310511595309899,H,H,TRUE
1997,R,2.25404532848374,0.0306961371415588,0.0372156742093682,54,1.2312269907482538,98,3,3,R,C.R,R,NA,R,R,TRUE
