"","ringwidth"
"1898",-0.114502291458378
"1899",1.09576479696337
"1900",-0.175117849371216
"1901",-0.292470820601017
"1902",0.0423071825147288
"1903",-0.342975486005508
"1904",-0.290367956588207
"1905",-1.20903290309917
"1906",-1.54655130483984
"1907",-0.362178556122178
"1908",-1.22902386825596
"1909",-0.588139018219612
"1910",-1.70344408120906
"1911",-1.96710951845283
"1912",-1.01646844616942
"1913",-1.31348286505787
"1914",0.0319661326541327
"1915",-1.30894939544448
"1916",-1.56918775306092
"1917",-1.24229547734161
"1918",-0.937995566032868
"1919",-0.339863385792141
"1920",0.386734845297583
"1921",-1.80506508559289
"1922",-0.235061406471295
"1923",-1.96639549370531
"1924",-0.531103527850222
"1925",-1.09837451369917
"1926",-0.659702076488865
"1927",-0.177310646831849
"1928",-0.35368730434545
"1929",-0.187704484233262
"1930",-0.735260592913484
"1931",-1.21122378290249
"1932",-0.567055249922655
"1933",-0.565278310515172
"1934",-0.385521211386776
"1935",1.28948303471866
"1936",-0.839081657593602
"1937",0.423933582402749
"1938",0.899556425370571
"1939",0.362566653532647
"1940",0.541810399186709
"1941",0.809880581376385
"1942",0.0700420527045183
"1943",0.722603702070754
"1944",0.986349160779413
"1945",0.362119489936242
"1946",0.901425072106507
"1947",-0.997429700110001
"1948",-0.700489999887438
"1949",0.280743027691365
"1950",-0.226322939811759
"1951",-0.237333876081822
"1952",0.142816132796046
"1953",0.980650128125244
"1954",-0.937260610361021
"1955",0.625414680307556
"1956",-0.985700905579041
"1957",-0.983832773077233
"1958",0.0395086439865743
"1959",0.284505530853126
"1960",0.0515316919572121
"1961",-0.156871312425562
"1962",-0.683811277497364
"1963",-1.28323174508185
"1964",-0.574439557142788
"1965",0.580974289781448
"1966",-0.360827772850616
"1967",-0.233810225233801
"1968",-0.640455944703233
"1969",-1.59388384543801
"1970",-0.635392107768147
"1971",-0.411198247197381
"1972",-1.13147806726172
"1973",-0.00256046720928577
"1974",-0.265816064516445
"1975",0.487696617266094
"1976",-1.90675656623787
"1977",-0.367206151040536
"1978",0.116697889182634
"1979",0.663699982752433
"1980",-1.06364133001164
"1981",0.410662422064691
"1982",1.08194227246007
"1983",0.765826713079865
"1984",-0.533512369817302
"1985",-0.65886497194827
"1986",-0.260752875840715
"1987",-1.04000566422865
"1988",0.416465903053697
"1989",0.891532735735625
"1990",0.610025278489529
"1991",-0.0363088707453643
"1992",0.0363073931762321
"1993",-0.0583653995316786
"1994",1.80786896338866
"1995",0.231366578541502
"1996",0.229496972991035
"1997",1.66228743518135
"1998",1.08764188650199
"1999",1.56047009410067
"2000",1.13913621255827
"2001",1.57094875568353
"2002",0.757976636770421
"2003",0.0960218021440754
"2004",1.64509401235699
"2005",1.8339227235448
"2006",1.51895059527559
"2007",1.7057779385738
"2008",0.317703422570297
"2009",1.91179118607405
"2010",0.38725352846929
"2011",0.903562868100836
"2012",1.11961305617668
"2013",0.108014195516605
"2014",2.11864314024191
"2015",1.40677580718401
"2016",2.44091390578504
"2017",2.98219940732411
"2018",-0.10243204321855
